FNDDTL_FUND_DETAIL_KEY,FNDDTL_FUND_DETAIL_CODE,FNDDTL_FUND_DETAIL_NAME,FND_FUND_CODE,FND_FUND_NAME
3345,1000,FEDERAL TRUST,10,FEDERAL TRUST
3346,1000,FEDERAL TRUST,10,FEDERAL TRUST
3347,0800,DEBT SERVICE,08,DEBT SERVICE
3348,0800,DEBT SERVICE,08,DEBT SERVICE
3349,0800,DEBT SERVICE,08,DEBT SERVICE
3350,1000,FEDERAL TRUST,10,FEDERAL TRUST
3351,1000,FEDERAL TRUST,10,FEDERAL TRUST
3352,1000,FEDERAL TRUST,10,FEDERAL TRUST
3353,1000,FEDERAL TRUST,10,FEDERAL TRUST
3354,1000,FEDERAL TRUST,10,FEDERAL TRUST
3355,1000,FEDERAL TRUST,10,FEDERAL TRUST
3356,0800,DEBT SERVICE,08,DEBT SERVICE
3357,0800,DEBT SERVICE,08,DEBT SERVICE
3358,0800,DEBT SERVICE,08,DEBT SERVICE
3359,1000,FEDERAL TRUST,10,FEDERAL TRUST
3360,1000,FEDERAL TRUST,10,FEDERAL TRUST
3361,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3362,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3363,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3364,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3365,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3366,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3367,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3368,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3369,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3370,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3371,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3372,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3373,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3374,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3375,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3376,1000,FEDERAL TRUST,10,FEDERAL TRUST
3377,1000,FEDERAL TRUST,10,FEDERAL TRUST
3378,1000,FEDERAL TRUST,10,FEDERAL TRUST
3379,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3380,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3381,1500,GENERAL FIXED ASSETS,15,GENERAL FIXED ASSETS
3382,1500,GENERAL FIXED ASSETS,15,GENERAL FIXED ASSETS
3383,1500,GENERAL FIXED ASSETS,15,GENERAL FIXED ASSETS
3384,0700,TRUST AND AGENCY,07,TRUST AND AGENCY
3385,0700,TRUST AND AGENCY,07,TRUST AND AGENCY
3386,0700,TRUST AND AGENCY,07,TRUST AND AGENCY
3387,1500,GENERAL FIXED ASSETS,15,GENERAL FIXED ASSETS
3388,1500,GENERAL FIXED ASSETS,15,GENERAL FIXED ASSETS
3389,1500,GENERAL FIXED ASSETS,15,GENERAL FIXED ASSETS
3390,1500,GENERAL FIXED ASSETS,15,GENERAL FIXED ASSETS
3391,1500,GENERAL FIXED ASSETS,15,GENERAL FIXED ASSETS
3392,1500,GENERAL FIXED ASSETS,15,GENERAL FIXED ASSETS
3393,0800,DEBT SERVICE,08,DEBT SERVICE
3394,0800,DEBT SERVICE,08,DEBT SERVICE
3395,0800,DEBT SERVICE,08,DEBT SERVICE
3396,1000,FEDERAL TRUST,10,FEDERAL TRUST
3397,1000,FEDERAL TRUST,10,FEDERAL TRUST
3398,1000,FEDERAL TRUST,10,FEDERAL TRUST
3399,0800,DEBT SERVICE,08,DEBT SERVICE
3400,0800,DEBT SERVICE,08,DEBT SERVICE
3401,1000,FEDERAL TRUST,10,FEDERAL TRUST
3402,1000,FEDERAL TRUST,10,FEDERAL TRUST
3403,1000,FEDERAL TRUST,10,FEDERAL TRUST
3404,1000,FEDERAL TRUST,10,FEDERAL TRUST
3405,1000,FEDERAL TRUST,10,FEDERAL TRUST
3406,1000,FEDERAL TRUST,10,FEDERAL TRUST
3407,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3408,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3409,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3410,1000,FEDERAL TRUST,10,FEDERAL TRUST
3411,1000,FEDERAL TRUST,10,FEDERAL TRUST
3412,1000,FEDERAL TRUST,10,FEDERAL TRUST
3413,1000,FEDERAL TRUST,10,FEDERAL TRUST
3414,1000,FEDERAL TRUST,10,FEDERAL TRUST
3415,1000,FEDERAL TRUST,10,FEDERAL TRUST
3416,1000,FEDERAL TRUST,10,FEDERAL TRUST
3417,1000,FEDERAL TRUST,10,FEDERAL TRUST
3418,1000,FEDERAL TRUST,10,FEDERAL TRUST
3419,1000,FEDERAL TRUST,10,FEDERAL TRUST
3420,1000,FEDERAL TRUST,10,FEDERAL TRUST
3421,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3422,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3423,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3424,0800,DEBT SERVICE,08,DEBT SERVICE
3425,0800,DEBT SERVICE,08,DEBT SERVICE
3426,0800,DEBT SERVICE,08,DEBT SERVICE
3427,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3428,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3429,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3430,0800,DEBT SERVICE,08,DEBT SERVICE
3431,0800,DEBT SERVICE,08,DEBT SERVICE
3432,0800,DEBT SERVICE,08,DEBT SERVICE
3433,0800,DEBT SERVICE,08,DEBT SERVICE
3434,0800,DEBT SERVICE,08,DEBT SERVICE
3435,0800,DEBT SERVICE,08,DEBT SERVICE
3436,1000,FEDERAL TRUST,10,FEDERAL TRUST
3437,1000,FEDERAL TRUST,10,FEDERAL TRUST
3438,1000,FEDERAL TRUST,10,FEDERAL TRUST
3439,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3440,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3441,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3442,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3443,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3444,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3445,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3446,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3447,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3448,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3449,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3450,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3451,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3452,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3453,1000,FEDERAL TRUST,10,FEDERAL TRUST
3454,1000,FEDERAL TRUST,10,FEDERAL TRUST
3455,1000,FEDERAL TRUST,10,FEDERAL TRUST
3456,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3457,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3458,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3459,1000,FEDERAL TRUST,10,FEDERAL TRUST
3460,1000,FEDERAL TRUST,10,FEDERAL TRUST
3461,1000,FEDERAL TRUST,10,FEDERAL TRUST
3462,1000,FEDERAL TRUST,10,FEDERAL TRUST
3463,1000,FEDERAL TRUST,10,FEDERAL TRUST
3464,0700,TRUST AND AGENCY,07,TRUST AND AGENCY
3465,0700,TRUST AND AGENCY,07,TRUST AND AGENCY
3466,0700,TRUST AND AGENCY,07,TRUST AND AGENCY
3467,0800,DEBT SERVICE,08,DEBT SERVICE
3468,0800,DEBT SERVICE,08,DEBT SERVICE
3469,0800,DEBT SERVICE,08,DEBT SERVICE
3470,1000,FEDERAL TRUST,10,FEDERAL TRUST
3471,1000,FEDERAL TRUST,10,FEDERAL TRUST
3472,1000,FEDERAL TRUST,10,FEDERAL TRUST
3473,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3474,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3475,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3476,1000,FEDERAL TRUST,10,FEDERAL TRUST
3477,1000,FEDERAL TRUST,10,FEDERAL TRUST
3478,1000,FEDERAL TRUST,10,FEDERAL TRUST
3479,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3480,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3481,1000,FEDERAL TRUST,10,FEDERAL TRUST
3482,1000,FEDERAL TRUST,10,FEDERAL TRUST
3483,1000,FEDERAL TRUST,10,FEDERAL TRUST
3484,1000,FEDERAL TRUST,10,FEDERAL TRUST
3485,1000,FEDERAL TRUST,10,FEDERAL TRUST
3486,1000,FEDERAL TRUST,10,FEDERAL TRUST
3487,1000,FEDERAL TRUST,10,FEDERAL TRUST
3488,1000,FEDERAL TRUST,10,FEDERAL TRUST
3489,1000,FEDERAL TRUST,10,FEDERAL TRUST
3490,1000,FEDERAL TRUST,10,FEDERAL TRUST
3491,1000,FEDERAL TRUST,10,FEDERAL TRUST
3492,1000,FEDERAL TRUST,10,FEDERAL TRUST
3493,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3494,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3495,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3496,1000,FEDERAL TRUST,10,FEDERAL TRUST
3497,1000,FEDERAL TRUST,10,FEDERAL TRUST
3498,1000,FEDERAL TRUST,10,FEDERAL TRUST
3499,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3500,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3501,1000,FEDERAL TRUST,10,FEDERAL TRUST
3502,1000,FEDERAL TRUST,10,FEDERAL TRUST
3503,1000,FEDERAL TRUST,10,FEDERAL TRUST
3504,1000,FEDERAL TRUST,10,FEDERAL TRUST
3505,1000,FEDERAL TRUST,10,FEDERAL TRUST
3506,1000,FEDERAL TRUST,10,FEDERAL TRUST
3507,1000,FEDERAL TRUST,10,FEDERAL TRUST
3508,1000,FEDERAL TRUST,10,FEDERAL TRUST
3509,1000,FEDERAL TRUST,10,FEDERAL TRUST
3510,1000,FEDERAL TRUST,10,FEDERAL TRUST
3511,2500,TREASURERS EQUITY IN CASH,25,TREASURERS EQUITY IN CASH
3512,2500,TREASURERS EQUITY IN CASH,25,TREASURERS EQUITY IN CASH
3513,1000,FEDERAL TRUST,10,FEDERAL TRUST
3514,1000,FEDERAL TRUST,10,FEDERAL TRUST
3515,1000,FEDERAL TRUST,10,FEDERAL TRUST
3516,1000,FEDERAL TRUST,10,FEDERAL TRUST
3517,1000,FEDERAL TRUST,10,FEDERAL TRUST
3518,1000,FEDERAL TRUST,10,FEDERAL TRUST
3519,1000,FEDERAL TRUST,10,FEDERAL TRUST
3520,1000,FEDERAL TRUST,10,FEDERAL TRUST
3521,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3522,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3523,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3524,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3525,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3526,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3527,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3528,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3529,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3530,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3531,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3532,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3533,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3534,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3535,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3536,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3537,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3538,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3539,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3540,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3541,0800,DEBT SERVICE,08,DEBT SERVICE
3542,0800,DEBT SERVICE,08,DEBT SERVICE
3543,0800,DEBT SERVICE,08,DEBT SERVICE
3544,0800,DEBT SERVICE,08,DEBT SERVICE
3545,0800,DEBT SERVICE,08,DEBT SERVICE
3546,0800,DEBT SERVICE,08,DEBT SERVICE
3547,0800,DEBT SERVICE,08,DEBT SERVICE
3548,0800,DEBT SERVICE,08,DEBT SERVICE
3549,0800,DEBT SERVICE,08,DEBT SERVICE
3550,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3551,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3552,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3553,0800,DEBT SERVICE,08,DEBT SERVICE
3554,0800,DEBT SERVICE,08,DEBT SERVICE
3555,0800,DEBT SERVICE,08,DEBT SERVICE
3556,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3557,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3558,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3559,0800,DEBT SERVICE,08,DEBT SERVICE
3560,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3561,0700,TRUST AND AGENCY,07,TRUST AND AGENCY
3562,0700,TRUST AND AGENCY,07,TRUST AND AGENCY
3563,0700,TRUST AND AGENCY,07,TRUST AND AGENCY
3564,1000,FEDERAL TRUST,10,FEDERAL TRUST
3565,1000,FEDERAL TRUST,10,FEDERAL TRUST
3566,1000,FEDERAL TRUST,10,FEDERAL TRUST
3567,0700,TRUST AND AGENCY,07,TRUST AND AGENCY
3568,0700,TRUST AND AGENCY,07,TRUST AND AGENCY
3569,0700,TRUST AND AGENCY,07,TRUST AND AGENCY
3570,2500,TREASURERS EQUITY IN CASH,25,TREASURERS EQUITY IN CASH
3571,2500,TREASURERS EQUITY IN CASH,25,TREASURERS EQUITY IN CASH
3572,2500,TREASURERS EQUITY IN CASH,25,TREASURERS EQUITY IN CASH
3573,2500,TREASURERS EQUITY IN CASH,25,TREASURERS EQUITY IN CASH
3574,2500,TREASURERS EQUITY IN CASH,25,TREASURERS EQUITY IN CASH
3575,2500,TREASURERS EQUITY IN CASH,25,TREASURERS EQUITY IN CASH
3576,1000,FEDERAL TRUST,10,FEDERAL TRUST
3577,1000,FEDERAL TRUST,10,FEDERAL TRUST
3578,1000,FEDERAL TRUST,10,FEDERAL TRUST
3579,0700,TRUST AND AGENCY,07,TRUST AND AGENCY
3580,0700,TRUST AND AGENCY,07,TRUST AND AGENCY
3581,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3582,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3583,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3584,1000,FEDERAL TRUST,10,FEDERAL TRUST
3585,1000,FEDERAL TRUST,10,FEDERAL TRUST
3586,1000,FEDERAL TRUST,10,FEDERAL TRUST
3587,1000,FEDERAL TRUST,10,FEDERAL TRUST
3588,1000,FEDERAL TRUST,10,FEDERAL TRUST
3589,1000,FEDERAL TRUST,10,FEDERAL TRUST
3590,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3591,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3592,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3593,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3594,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3595,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3596,1000,FEDERAL TRUST,10,FEDERAL TRUST
3597,1000,FEDERAL TRUST,10,FEDERAL TRUST
3598,1000,FEDERAL TRUST,10,FEDERAL TRUST
3599,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3600,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3601,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3602,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3603,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3604,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3605,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3606,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3607,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3608,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3609,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3610,0700,TRUST AND AGENCY,07,TRUST AND AGENCY
3611,0700,TRUST AND AGENCY,07,TRUST AND AGENCY
3612,0700,TRUST AND AGENCY,07,TRUST AND AGENCY
3613,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3614,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3615,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3616,0700,TRUST AND AGENCY,07,TRUST AND AGENCY
3617,0700,TRUST AND AGENCY,07,TRUST AND AGENCY
3618,0700,TRUST AND AGENCY,07,TRUST AND AGENCY
3619,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3620,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3621,1000,FEDERAL TRUST,10,FEDERAL TRUST
3622,1000,FEDERAL TRUST,10,FEDERAL TRUST
3623,1000,FEDERAL TRUST,10,FEDERAL TRUST
3624,2500,TREASURERS EQUITY IN CASH,25,TREASURERS EQUITY IN CASH
3625,2500,TREASURERS EQUITY IN CASH,25,TREASURERS EQUITY IN CASH
3626,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3627,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3628,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3629,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3630,1000,FEDERAL TRUST,10,FEDERAL TRUST
3631,1000,FEDERAL TRUST,10,FEDERAL TRUST
3632,1000,FEDERAL TRUST,10,FEDERAL TRUST
3633,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3634,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3635,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3636,1000,FEDERAL TRUST,10,FEDERAL TRUST
3637,1000,FEDERAL TRUST,10,FEDERAL TRUST
3638,1000,FEDERAL TRUST,10,FEDERAL TRUST
3639,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3640,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3641,1000,FEDERAL TRUST,10,FEDERAL TRUST
3642,1000,FEDERAL TRUST,10,FEDERAL TRUST
3643,1000,FEDERAL TRUST,10,FEDERAL TRUST
3644,1000,FEDERAL TRUST,10,FEDERAL TRUST
3645,1000,FEDERAL TRUST,10,FEDERAL TRUST
3646,1000,FEDERAL TRUST,10,FEDERAL TRUST
3647,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3648,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3649,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3650,1000,FEDERAL TRUST,10,FEDERAL TRUST
3651,1000,FEDERAL TRUST,10,FEDERAL TRUST
3652,1000,FEDERAL TRUST,10,FEDERAL TRUST
3653,1000,FEDERAL TRUST,10,FEDERAL TRUST
3654,1000,FEDERAL TRUST,10,FEDERAL TRUST
3655,1000,FEDERAL TRUST,10,FEDERAL TRUST
3656,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3657,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3658,1100,GENERAL FEDERAL MATCH,11,GENERAL FEDERAL MATCH
3659,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3660,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3661,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3662,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3663,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3664,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3665,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3666,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3667,0700,TRUST AND AGENCY,07,TRUST AND AGENCY
3668,0700,TRUST AND AGENCY,07,TRUST AND AGENCY
3669,0700,TRUST AND AGENCY,07,TRUST AND AGENCY
3670,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3671,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3672,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3673,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3674,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3675,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3676,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3677,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3678,3300,HIGHER EDUCATION OPERATING FEDERAL MATCH,33,HIGHER EDUCATION OPERATING FEDERAL MATCH
3679,0700,TRUST AND AGENCY,07,TRUST AND AGENCY
3680,0700,TRUST AND AGENCY,07,TRUST AND AGENCY
3681,1000,FEDERAL TRUST,10,FEDERAL TRUST
3682,1000,FEDERAL TRUST,10,FEDERAL TRUST
3683,1000,FEDERAL TRUST,10,FEDERAL TRUST
3684,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3685,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3686,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3687,1000,FEDERAL TRUST,10,FEDERAL TRUST
3688,1000,FEDERAL TRUST,10,FEDERAL TRUST
3689,1000,FEDERAL TRUST,10,FEDERAL TRUST
3690,1000,FEDERAL TRUST,10,FEDERAL TRUST
3691,1000,FEDERAL TRUST,10,FEDERAL TRUST
3692,1000,FEDERAL TRUST,10,FEDERAL TRUST
3693,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3694,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3695,2200,SPECIAL REVENUE FEDERAL MATCH,22,SPECIAL REVENUE FEDERAL MATCH
3696,1000,FEDERAL TRUST,10,FEDERAL TRUST
3697,1000,FEDERAL TRUST,10,FEDERAL TRUST
3698,1000,FEDERAL TRUST,10,FEDERAL TRUST
