
"PONUMBER"	"AGENCY"	"ORDEREDDATE"	"VENDORCOMMODITYDESC"	"QUANTITYORDERED"	"PRICE"	"VENDORID"	"VENDORNAME"	"VENDORADDRESS"	"VENDORCITY"	"VENDORSTATE"	"VENDORPOSTALCODE"	"VENDORLOC_EMAILADDRESS"	"NIGPCODE"	"NIGPDESCRIPTION"	"UOMCode"	"UOMDesc"	"VENDORPARTNUMBER"	"MANPARTNUMBER"
"DO36506"	"College of William and Mary"	"09/24/2002"	"STRIP IT, MISTY-X-WAX    12/22"	10	32.6975	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"48555"	"Floor Stripper and Cleaner"	"CS"	"case"	"930236"	""
"DO36515"	"Sussex Correctional Center I"	"09/24/2002"	"6103-XX  Work Boot, Color Brown (14), Size 11E"	3	28.75	"c21685"	"VIRGINIA CORRECTIONAL ENTERPRISES"	"8030 White Bark Terrace"	"Richmond"	"VA"	"23237"	"vcecustsrvc@vadoc.state.va.us"	"80008"	"Boots, Leather"	"PR"	"pair"	""	""
"DO36521"	"Paul D. Camp Community College"	"09/24/2002"	"Fadeless Art Paper Roll, 48in x 50ft, Emerald"	1	13.42	"c16503"	"Supply Room"	"PO Box 1810"	"Ashland"	"VA"	"23005"	"achildress@thesupplyroom.com"	"86000"	"TICKETS, COUPON BOOKS, SALES BOOKS, STRIP BOOKS, ETC."	"RL"	"reel"	"BEM57145"	"BEM57145"
"DO60246"	"Science Museum of Virginia"	"02/04/2003"	"Popcorn - 24/16oz pkgs"	10	24.9499999999999992894572642398998141289	"999999999999"	"Victor Products"	""	""	""	""	""	"74085"	"Vending Machines, Refrigerated"	"EA"	"each"	""	""
"DO36525"	"Catawba Hospital"	"09/24/2002"	"BEEF, GROUND, IMPS 136   5/10#"	4	67.4245	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39049"	"Meat: Cured, Fresh, and Frozen"	"CS"	"case"	"960102"	""
"DO36525"	"Catawba Hospital"	"09/24/2002"	"BEEF PATTIES 4 OZ 40 PC    10#"	10	15.706075	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39049"	"Meat: Cured, Fresh, and Frozen"	"BX"	"box"	"960116"	""
"DO36646"	"Department of Corrections"	"09/24/2002"	"SPAGHETTI SAUCE           6/10"	2	12.391225	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39348"	"Dressings, Condiments, Sauces, and Gravies"	"CS"	"case"	"911333"	""
"DO7736"	"Department of General Services"	"02/19/2002"	"Plaster trenching, installation of conduit over 6 doors on 3rd floor Capitol.  Install receptacles over doors in void of woodwork for new light fixtures.  Also install 4 receptacles just above marble in 4 corners.  Lights on one circuit and two circuits f"	0	5000	"999999999999"	"Combustioneer Corporation"	"4340 Innslake Drive"	"Glen Allen"	"Vi"	"23060"	"singo@combustioneer.com"	"91438"	"Electrical"	"EA"	"each"	""	""
"DO36456"	"Virginia Highlands Community College"	"09/24/2002"	"Shipping charges"	1	6	"999999999999"	"College Board Publications"	"Dept. GSX0100A
Two  College Way`"	"Forrester Center"	"WV"	"25438"	""	"96286"	"Transportation of Goods (Freight)"	"EA"	"each"	""	""

"DO36646"	"Department of Corrections"	"09/24/2002"	"SUGAR GRANULATED          8/5#"	6	13.180475	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39381"	"Sugar and Sweeteners"	"BL"	"bale"	"911265"	""
"DO36646"	"Department of Corrections"	"09/24/2002"	"SQUASH YELLOW CUT         6/10"	2	16.5743	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39084"	"Vegetables, Fresh"	"CS"	"case"	"910756"	""
"DO36590"	"Dillwyn Correctional Center"	"09/24/2002"	"Lamp, C150 S55 ALTO"	30	13.87	"c11314"	"NOLAND COMPANY"	"2101 STAPLES MILL ROAD"	"RICHMOND"	"VA"	"23230"	"markfail@noland.com"	"28506"	"Ballasts, All Kinds"	"EA"	"each"	""	""
"DO60163-V2"	"Department of Corrections"	"02/04/2003"	"6A149UL 2 Panel THC/COC"	6	82.5	"626532535"	"Dade Behring Inc."	"3090 PREMIERE PARKWAY SUITE 600"	"DULUTH"	"GA"	"30097"	""	"95206"	"Alcohol and Drug Prevention"	"EA"	"each"	"6A149UL"	""
"DO36646"	"Department of Corrections"	"09/24/2002"	"SPECIAL LIQ SHORTENING 2/17.5#"	6	16.968875	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39375"	"Shortening and Oil, Vegetable"	"CS"	"case"	"911895"	""
"DO60163-V2"	"Department of Corrections"	"02/04/2003"	"6A019UL Srt Cocaine (COC)"	8	41.25	"626532535"	"Dade Behring Inc."	"3090 PREMIERE PARKWAY SUITE 600"	"DULUTH"	"GA"	"30097"	""	"95206"	"Alcohol and Drug Prevention"	"EA"	"each"	"6A019UL"	""
"DO36646"	"Department of Corrections"	"09/24/2002"	"PEPPER BLACK  6M"	6	13.1918	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39380"	"Spices and Seasonings (To Include Seasoned Salt and Pepper)"	"CS"	"case"	"911296"	""
"DO36597"	"Keen Mountain Correctional Center"	"09/24/2002"	"INTAKE HOSE, #109562"	3	36.36	"c7110"	"Heritage Food Service Equipment Inc"	"5130 EXECUTIVE BLVD"	"FORT WAYNE"	"IN"	"46808"	"LINDAM@HFSE.COM"	"28530"	"Dielectric Tools, Tool Handles, Hydraulic Hose and Fittings (High ANSI Rated)"	"EA"	"each"	""	""
"PCO1590"	"Department of Blind and Vision Impaired"	"02/07/2002"	"Print Cartridge; Color"	0	35.99	"e80"	"SOLONY"	"Post Office Box 470019"	"Brooklyn"	"NY"	"11247"	"virginia@solony.com"	"20772"	"Printer Accessories and Supplies: Chemicals, Forms Tractors, Inks and Cartridges, Label Sheets, Sheet Feeders, Toner Cartridges, Wheels, etc."	"EA"	"each"	"C6578DN"	"C6578DN"
"DO36599"	"University of Mary Washington"	"09/24/2002"	"HUSKY #1240 DIS SPRAY CLEANER 12/19"	3	21.9637	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"48516"	"Cleaner, Hard Surface, General Purpose, Liquid (Including Graffiti Removers) (See 630-45 for Painted Type Graffiti Removers)"	"CS"	"case"	"930348"	""
"DO36599"	"University of Mary Washington"	"09/24/2002"	"DPS M115 ENVELOPES     100/BOX"	10	11.6527	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"31024"	"Envelopes, Plain, Special"	"BX"	"box"	"970026"	""
"DO36603"	"Virginia State University"	"09/24/2002"	"Loose Leaf Desk Calendar Refill, One Color, 3-1/2inx6in"	9	1.04	"c16503"	"Supply Room"	"PO Box 1810"	"Ashland"	"VA"	"23005"	"achildress@thesupplyroom.com"	"61519"	"Calendars, Calendar Pads and Stands"	"EA"	"each"	"AAGE71750"	"AAGE71750"
"DO36565"	"Department of Corrections"	"09/24/2002"	"SHEETS WHITE 66"X101"    1 DOZ"	3	42.4842	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"85064"	"Sheets and Pillow Cases"	"DZN"	"dozen"	"941009"	""
"DO36599"	"University of Mary Washington"	"09/24/2002"	"DUST PAN LOBBY TYPE #812     1"	12	6.4493	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"48594"	"Waste Receptacles and Dust Pans"	"EA"	"each"	"930242"	""
"DO36599"	"University of Mary Washington"	"09/24/2002"	"ANTIMICROBI LOTION SOAP 10/950"	6	29.4278	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"48586"	"Soap, Hand: Bar, Liquid, and Powdered"	"CS"	"case"	"930066"	""
"DO59961"	"Virginia State Police"	"02/03/2003"	"LINER EX HVY PLUS #10711 43X47 1C"	17	10.5327999999999999403144101961515843868	"086711962"	"DEPARTMENT OF GENERAL SERVICES"	"2400 Riley Ridge Rd"	"Sandston"	"VA"	"23150"	"jjanisko@dgs.state.va.us"	"66524"	"Bags and Liners, Plastic: Garbage Can Liners, Janitor Cart Liners, Linen Hamper Liners, Litter Bags, Polyethylene Bags, etc."	"CS"	"case"	"920598"	""
"DO36565"	"Department of Corrections"	"09/24/2002"	"PILLOW CASE WH 20.5 X32.5 1 DZ"	3	10.5309	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"85064"	"Sheets and Pillow Cases"	"DZN"	"dozen"	"941001"	""
"DO36203"	"Greensville Correctional Center"	"09/23/2002"	" ********* NameTag,Velcro,ClothNames:
Solomon,Schuckers,Kee,Martin,2pername"	8	1.5	"c21685"	"VIRGINIA CORRECTIONAL ENTERPRISES"	"8030 White Bark Terrace"	"Richmond"	"VA"	"23237"	"vcecustsrvc@vadoc.state.va.us"	"08038"	"Convention Badges and Name Tags, Nonadhesive type"	"EA"	"each"	""	""

"DO35730"	"Department of Forestry"	"09/23/2002"	"Meals "	5	35	"e4572"	"Newland Geographic, Inc."	"PO BOX 20234"	"Boulder"	"CO"	"80308-3234"	"mlobrien@newlandgeographic.com"	"92045"	"Software Maintenance/Support"	"EA"	"each"	""	""
"DO59961"	"Virginia State Police"	"02/03/2003"	"WASTE BASKETS METAL ROUND   EA"	13	5.41394999999999981810105964541435241699	"086711962"	"DEPARTMENT OF GENERAL SERVICES"	"2400 Riley Ridge Rd"	"Sandston"	"VA"	"23150"	"jjanisko@dgs.state.va.us"	"45034"	"Garbage Cans, Containers and Racks"	"EA"	"each"	"930550"	""
"DO5215"	"Southwest Virginia Community College"	"01/24/2002"	"Per attached"	0	511.64	"999999999999"	"460 Supply, Inc."	"357 East Front Street"	"Richlands"	"VA"	"24641"	""	"56000"	"MATERIAL HANDLING AND STORAGE EQUIPMENT AND ALLIED ITEMS"	"LO"	"lot"	""	""
"A501_0000200196"	"Virginia Department of Transportation"	"09/23/2002"	"PENCIL, MECHANICAL .7MM"	1	11.75	"c21574"	"VA INDUSTRIES F/T BLIND"	"1102 Monticello Rd., Attention Fiscal Billing"	"Charlottesville"	"VA"	"22902"	"harrisgf@dbvi.state.va.us"	"62060"	"Pencils, Lead; Pencil Leads; Pencil Lengtheners; etc."	"DZN"	"dozen"	""	""
"DO36362"	"Tidewater Community College"	"09/23/2002"	"Mini-Hack Utility Professional Hacksaw"	2	3.56	"c7188"	"Grainger Industrial Supply"	"2424 Magnolia Ct."	"Richmond"	"VA"	"23223"	"vastate.552@grainger.com"	"44558"	"Saws (Non-Powered): Hack, Keyhole, Pruning, Pole, etc."	"EA"	"each"	"1C069"	""
"DO35730"	"Department of Forestry"	"09/23/2002"	"GPS units to be collected at VDOF Regional Offices for delivery toCorvallis Microtechnology for RMA services at the hourly rate of $50/hour."	50	50	"e4572"	"Newland Geographic, Inc."	"PO BOX 20234"	"Boulder"	"CO"	"80308-3234"	"mlobrien@newlandgeographic.com"	"92045"	"Software Maintenance/Support"	"EA"	"each"	""	""
"DO59950"	"Southeastern Virginia Training Center"	"02/03/2003"	"Turkey ham 2/5-7#"	8	23.1000000000000014210854715202003717423	"097641070"	"PYA/MONARCH, LLC"	"P. O. BOX 396"	"NORFOLK"	"VA"	"23501"	"chris.martini@pyamonarch.com"	"39049"	"Meat: Cured, Fresh, and Frozen"	"CS"	"case"	""	""
"DO36362"	"Tidewater Community College"	"09/23/2002"	"Powerlock&#174; Measuring Tape, 16 feet, 3/4 inch Blade Width, with Stud Markings"	2	11.93	"c7188"	"Grainger Industrial Supply"	"2424 Magnolia Ct."	"Richmond"	"VA"	"23223"	"vastate.552@grainger.com"	"44557"	"Rules, Squares, and Tapes (Carpenter, etc.)"	"EA"	"each"	"6A497"	""
"DO36362"	"Tidewater Community College"	"09/23/2002"	"Chuck Key, 1/4 to 3/8 inch, 1/4 inch Pilot Size"	2	2.32	"c7188"	"Grainger Industrial Supply"	"2424 Magnolia Ct."	"Richmond"	"VA"	"23223"	"vastate.552@grainger.com"	"44526"	"Drills, Hand, Non-Powered: Braces, etc."	"EA"	"each"	"5F533"	""
"DO35730"	"Department of Forestry"	"09/23/2002"	"Shipping and Handling"	1	440	"e4572"	"Newland Geographic, Inc."	"PO BOX 20234"	"Boulder"	"CO"	"80308-3234"	"mlobrien@newlandgeographic.com"	"96286"	"Transportation of Goods (Freight)"	"EA"	"each"	""	""
"DO4992"	"Department of Corrections"	"01/23/2002"	"Inpatient Treatment for Clarence Britt beginning 1/9/02 through 2/6/02"	0	60.65	"e848"	"Serenity House Substance Abuse Recovery"	"Robert R. Bradley, Jr.,CEO, 161 Richneck Road"	"Newport News"	"VA"	"23602"	"serenity@visi.net"	"94892"	"Vaccination Program Services"	"DAY"	"day"	""	""
"DO26875"	"Department of General Services"	"07/25/2002"	"#32508 HIV Western Blot kit"	8	580	"999999999999"	"Biorad"	"14620 NE north Woodinville Way"	"Woodinville"	"Wa"	"98072"	""	"17500"	"CHEMICAL LABORATORY EQUIPMENT AND SUPPLIES"	"KT"	"kit"	""	""
"DO35730"	"Department of Forestry"	"09/23/2002"	"Mileage "	1100	.35	"e4572"	"Newland Geographic, Inc."	"PO BOX 20234"	"Boulder"	"CO"	"80308-3234"	"mlobrien@newlandgeographic.com"	"92045"	"Software Maintenance/Support"	"EA"	"each"	""	""
"A501_0000199982"	"Virginia Department of Transportation"	"09/23/2002"	"BM-25.0 (BASE MIXTURE)"	11.91	28.5	"e4627"	"Superior Paving Corporation"	"Box 900"	"Gainesville"	"VA"	"20156"	"jamesmitchell@superiorpaving.net"	"74521"	"Asphaltic Concrete, Hot Laid Including Bituminous Materials"	"LTN"	"ton (UK) or longton (US)"	""	""
"DO36358"	"Marion Correctional Treatment Center"	"09/23/2002"	"CR 811-19K  Cres Cor Element (6126-2)"	1	67.9	"c7110"	"Heritage Food Service Equipment Inc"	"5130 EXECUTIVE BLVD"	"FORT WAYNE"	"IN"	"46808"	"LINDAM@HFSE.COM"	"16500"	"CAFETERIA AND KITCHEN EQUIPMENT, COMMERCIAL"	"EA"	"each"	""	""
"DO36358"	"Marion Correctional Treatment Center"	"09/23/2002"	"CR848-62K  Cres Cor Thermostat Mechanical"	1	80	"c7110"	"Heritage Food Service Equipment Inc"	"5130 EXECUTIVE BLVD"	"FORT WAYNE"	"IN"	"46808"	"LINDAM@HFSE.COM"	"16500"	"CAFETERIA AND KITCHEN EQUIPMENT, COMMERCIAL"	"EA"	"each"	""	""
"DO36359"	"Marion Correctional Treatment Center"	"09/23/2002"	"JODA-003-2-B5E  Health Skills Encyclopedia Series:  Managing Stress"	1	8.95	"999999999999"	"NIMCO"	"P O Box 9"	"Calhoun"	"KY"	"42327-0009"	""	"71512"	"Books, Reference: Dictionaries, Encyclopedias, etc."	"EA"	"each"	""	""
"DO43663"	"Bland Correctional Center"	"11/06/2002"	"Witness Request Form (2-sided).  1 lot=2000 sheets.
($49.75/M)"	0	99.5	"c21685"	"VIRGINIA CORRECTIONAL ENTERPRISES"	"8030 White Bark Terrace"	"Richmond"	"VA"	"23237"	"vcecustsrvc@vadoc.state.va.us"	"39530"	"Continuous Forms, Custom"	"LO"	"lot"	""	""

"DO36359"	"Marion Correctional Treatment Center"	"09/23/2002"	"JODA-234-X-B5E  Health Skills Encyclopedia Series:  Thinking Reasonably"	1	8.95	"999999999999"	"NIMCO"	"P O Box 9"	"Calhoun"	"KY"	"42327-0009"	""	"71512"	"Books, Reference: Dictionaries, Encyclopedias, etc."	"EA"	"each"	""	""
"DO36358"	"Marion Correctional Treatment Center"	"09/23/2002"	"CR808-113KI  Cres Cor Switch"	1	24.45	"c7110"	"Heritage Food Service Equipment Inc"	"5130 EXECUTIVE BLVD"	"FORT WAYNE"	"IN"	"46808"	"LINDAM@HFSE.COM"	"16500"	"CAFETERIA AND KITCHEN EQUIPMENT, COMMERCIAL"	"EA"	"each"	""	""
"DO36356"	"Marion Correctional Treatment Center"	"09/23/2002"	"CA 11826   Suds-Pail  Color Green  5 qt."	4	3.9	"e2745"	"Cook's Correctional Kitchen Equipment"	"2200 Ogden Ave., Suite 500"	"Lisle"	"IL"	"60532"	"cookscorre@aol.com"	"10040"	"Pail-Type Containers, Steel"	"EA"	"each"	""	""
"DO36352"	"Buckingham Correctional Center"	"09/23/2002"	"PAPRIKA, GROUND             1#"	24	3.5225	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39380"	"Spices and Seasonings (To Include Seasoned Salt and Pepper)"	"LBR"	"pound"	"912116"	""
"DO36352"	"Buckingham Correctional Center"	"09/23/2002"	"GARLIC POWDER               1#"	12	2.2869	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39380"	"Spices and Seasonings (To Include Seasoned Salt and Pepper)"	"LBR"	"pound"	"912076"	""
"DO36352"	"Buckingham Correctional Center"	"09/23/2002"	"CELERY SEED              14 0Z"	12	2.3424	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39380"	"Spices and Seasonings (To Include Seasoned Salt and Pepper)"	"CH"	"container"	"912037"	""
"DO36352"	"Buckingham Correctional Center"	"09/23/2002"	"SPAGHETTI SAUCE           6/10"	12	12.391225	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39348"	"Dressings, Condiments, Sauces, and Gravies"	"CS"	"case"	"911333"	""
"DO36352"	"Buckingham Correctional Center"	"09/23/2002"	"YELLOW CAKE MIX           6/5#"	20	16.93505	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39346"	"Desserts: Packaged, Canned, and Mixes (Includes Cake Mixes, Gelatins, Icings, etc.)"	"CS"	"case"	"911966"	""
"DO36352"	"Buckingham Correctional Center"	"09/23/2002"	"PEPPER BLACK  6M"	10	13.1918	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39380"	"Spices and Seasonings (To Include Seasoned Salt and Pepper)"	"CS"	"case"	"911296"	""
"DO36352"	"Buckingham Correctional Center"	"09/23/2002"	"CORNMEAL PLAIN YELLOW 25#"	4	5.919375	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39351"	"Flour"	"BG"	"bag"	"912017"	""
"DO36352"	"Buckingham Correctional Center"	"09/23/2002"	"DRINK BASE GRAPE PRESWT 12/6 OZ"	4	25.4703	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39377"	"Soft Drinks"	"CS"	"case"	"912322"	""
"DO36352"	"Buckingham Correctional Center"	"09/23/2002"	"JUICE BASES, APPLE        6/10"	4	25.1433	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39360"	"Juices, Fruit and Vegetable (Not Frozen)"	"CS"	"case"	"910506"	""
"DO36352"	"Buckingham Correctional Center"	"09/23/2002"	"SPAGHETTI LONG             20#"	15	8.0955	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39361"	"Pasta (Including Macaroni, Noodles, and Spaghetti)"	"CS"	"case"	"911931"	""
"DO36352"	"Buckingham Correctional Center"	"09/23/2002"	"DRINK BASE ORANGE PRESWT 12/6 OZ"	6	25.4703	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39377"	"Soft Drinks"	"CS"	"case"	"912321"	""
"DO36352"	"Buckingham Correctional Center"	"09/23/2002"	"KIDNEY BEANS, US #1        20#"	12	10.699975	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39387"	"Vegetables, Dried, Beans, Peas, etc."	"BX"	"box"	"912178"	""
"DO36352"	"Buckingham Correctional Center"	"09/23/2002"	"GREAT NORTHERN BEANS US #1 20#"	8	8.86215	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39387"	"Vegetables, Dried, Beans, Peas, etc."	"BX"	"box"	"912173"	""
"DO36352"	"Buckingham Correctional Center"	"09/23/2002"	"BABY LIMA BEANS US #1      20#"	6	12.887325	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39387"	"Vegetables, Dried, Beans, Peas, etc."	"BX"	"box"	"912183"	""
"DO36352"	"Buckingham Correctional Center"	"09/23/2002"	"BLACK EYE PEAS US #1       20#"	8	9.8318	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39084"	"Vegetables, Fresh"	"BX"	"box"	"912203"	""
"DO36352"	"Buckingham Correctional Center"	"09/23/2002"	"CREAMY ITALIAN DRESS MX 18/PKG"	2	19.494475	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39348"	"Dressings, Condiments, Sauces, and Gravies"	"CS"	"case"	"911128"	""
"DO36352"	"Buckingham Correctional Center"	"09/23/2002"	"NAVY DRIED BEANS US #1     20#"	20	8.32095	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39387"	"Vegetables, Dried, Beans, Peas, etc."	"BX"	"box"	"912193"	""
"DO36352"	"Buckingham Correctional Center"	"09/23/2002"	"DRINK BASE CHERRY PRESWT 12/6 OZ"	6	25.4703	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39377"	"Soft Drinks"	"CS"	"case"	"912319"	""
"DO36352"	"Buckingham Correctional Center"	"09/23/2002"	"BRAN FLAKES, 4/35 OZ"	6	11.218625	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39336"	"Cereals, Uncooked"	"CS"	"case"	"911720"	""
"DO2268"	"Department of General Services"	"12/10/2001"	"Repair to springs on both Marshall Street Deck gates located in the parking deck at 7th and Marshall St.  These springs are located inside the steel pipe that hold the actual rolling curtain. "	0	3701	"999999999999"	"Overhead Door of Central Virginia"	"10391 Leadbetter Road"	"Ashland"	"Va"	"23005-6310"	""	"90922"	"Building Construction, Non-Residential (Office Bldg., etc.)"	"LO"	"lot"	""	""
"DO36352"	"Buckingham Correctional Center"	"09/23/2002"	"CRANBERRY SAUCE JELLIED   6/10"	2	28.852725	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39000"	"FOODS: PERISHABLE"	"CS"	"case"	"910071"	""
"DO36352"	"Buckingham Correctional Center"	"09/23/2002"	"SUGAR FROST FLAKE, 4/35 OZ"	12	10.767625	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39336"	"Cereals, Uncooked"	"CS"	"case"	"911722"	""
"DO36352"	"Buckingham Correctional Center"	"09/23/2002"	"CREAM OF WHEAT ENRICH 12/28 OZ"	5	11.5005	"e1"	"Virginia Distribution Center (VDC)"	"P.O. Box 99"	"Sandston"	"VA"	"23150"	"VDCweb@dgs.state.va.us"	"39335"	"Cereals, Ready-to-Eat"	"CS"	"case"	"911746"	""
"DO34910"	"Department of Alcoholic Beverage Control"	"09/13/2002"	"WIRELESS VHF TRANSMITTER AS PER SPECS ON BID"	6	1950	"e1679"	"Unilux, LTD"	"7845 D Airpark Road"	"Gaithersburg"	"MD"	"20879"	"sales@uniluxltd.com"	"72554"	"Security Systems and Equipment, Communications"	"EA"	"each"	""	""
"A501_0000200230"	"Virginia Department of Transportation"	"09/23/2002"	"MAINTENANCE FIELD WORKER, TEMPORARY SERVICES"	80	8.54	"c9568"	"ABACUS CORPORATION"	"3114 WEST MARSHALL STREET, SUITE A"	"RICHMOND"	"VA"	"23230"	"MPBRADY@ABACUSCORPORATION.COM"	"96162"	"Personnel Services (Not Employment)"	"HUR"	"hour"	""	""
"DO59571"	"Dillwyn Correctional Center"	"01/31/2003"	"ONE DAY TRAINING SESSION IN THE ADJUSTMENT OF THE SOUTHERN STEEL #10120E LOCKS"	1	1600	"999999999999"	"SOUTHERN STEEL"	"4634 SOUTH PRESA"	"SAN ANTONIO"	"TX"	"78223-1000"	""	"31840"	"Locks and Keys"	"EA"	"each"	""	""
"A501_0000200252"	"Virginia Department of Transportation"	"09/23/2002"	"FLAGGER SERVICES, TEMPORARY SERVICES"	56	9.35	"c9568"	"ABACUS CORPORATION"	"3114 WEST MARSHALL STREET, SUITE A"	"RICHMOND"	"VA"	"23230"	"MPBRADY@ABACUSCORPORATION.COM"	"96162"	"Personnel Services (Not Employment)"	"HUR"	"hour"	""	""
"A501_0000200213"	"Virginia Department of Transportation"	"09/23/2002"	"FLAGGER SERVICES, TEMPORARY SERVICES"	8	9.35	"c9568"	"ABACUS CORPORATION"	"3114 WEST MARSHALL STREET, SUITE A"	"RICHMOND"	"VA"	"23230"	"MPBRADY@ABACUSCORPORATION.COM"	"96162"	"Personnel Services (Not Employment)"	"HUR"	"hour"	""	""
"DO34909"	"Germanna Community College"	"09/13/2002"	"Monthly pocket planner, 14 month calendar year"	100	2.16	"999999999999"	"Chesapeake Promotional Services (CPS)"	"12014 Prosperity Court"	"Fredericksburg"	"VA"	"22407"	""	"61515"	"Books, Office: Accounting, Address, Columnar, Composition, Memo, Minute, Receipt, Steno, Time, etc."	"EA"	"each"	""	""
"A501_0000200213"	"Virginia Department of Transportation"	"09/23/2002"	"FLAGGER SERVICES, TEMPORARY SERVICES"	16	9.35	"c9568"	"ABACUS CORPORATION"	"3114 WEST MARSHALL STREET, SUITE A"	"RICHMOND"	"VA"	"23230"	"MPBRADY@ABACUSCORPORATION.COM"	"96162"	"Personnel Services (Not Employment)"	"HUR"	"hour"	""	""
