SRC_SOURCE_KEY,SRCCLS_SOURCE_CLASS_CODE,SRCCLS_SOURCE_CLASS_NAME,SRC_SOURCE_CODE,,SRC_SOURCE_NAME
1639,16,FEDERAL GRANTS AND CONTRACTS,16588,,VIOLENCE AGAINST WOMEN FORMULA GRANT
1673,16,FEDERAL GRANTS AND CONTRACTS,16729,,DRUG-FREE COMMUNITIES SUPPORT PROGRAM GRANTS
1701,17,FEDERAL GRANTS AND CONTRACTS,17225,,UNEMPLOYMENT INSURANCE
1709,17,FEDERAL GRANTS AND CONTRACTS,17255,,WORKFORCE INVESTMENT ACT
1717,17,FEDERAL GRANTS AND CONTRACTS,17500,,OCCUPATIONAL SAFETY AND HEALTH
1436,10,FEDERAL GRANTS AND CONTRACTS,10210,,FOOD AND AGRICULTURAL SCIENCES FELLOWSHIP GRANTS
1524,10,FEDERAL GRANTS AND CONTRACTS,10224,,"RURAL AMERICA RESEARCH, ED & EXTENSION ACTIVITIES"
1532,10,FEDERAL GRANTS AND CONTRACTS,10305,,INTERNATIONAL SCIENCE & EDU GRANTS PROGRAM
1521,10,FEDERAL GRANTS AND CONTRACTS,10218,,BUILDINGS & FACILITIES PROGRAM
1529,10,FEDERAL GRANTS AND CONTRACTS,10302,,INITIATIVE FOR FUTURE AGRICULTURE & FOOD SYSTEMS
1537,10,FEDERAL GRANTS AND CONTRACTS,10450,,CROP INSURANCE
1605,10,FEDERAL GRANTS AND CONTRACTS,10555,,NATIONAL SCHOOL LUNCH PROGRAM
1613,10,FEDERAL GRANTS AND CONTRACTS,10565,,COMMODITY SUPPLEMENTAL FOOD PROGRAM
1661,10,FEDERAL GRANTS AND CONTRACTS,10665,,SCHOOLS & ROADS - GRANTS TO STATES
1,17,FEDERAL GRANTS AND CONTRACTS,17804,,LOCAL VETERANS EMPLOYMENT REPRESENTATIVE PROGRAM
23,19,FEDERAL GRANTS AND CONTRACTS,19424,,EDUCATIONAL PARTNERSHIPS PROGRAM
31,20,FEDERAL GRANTS AND CONTRACTS,20205,,HIGHWAY PLANNING & CONSTRUCTION
74,20,FEDERAL GRANTS AND CONTRACTS,20505,,FEDERAL TRANSIT-METROPOLITAN PLANNING GRANTS
110,20,FEDERAL GRANTS AND CONTRACTS,20600,,STATE AND COMMUNITY HIGHWAY SAFETY
146,20,FEDERAL GRANTS AND CONTRACTS,20900,,TRANSPORTATION CONSUMER AFFAIRS
157,30,FEDERAL GRANTS AND CONTRACTS,30002,,EMPLOYMENT DISCRIMINATION-STATE/LOCAL FAIR EMPLOY
224,45,FEDERAL GRANTS AND CONTRACTS,45000,,OTHER ASSIST - NATIONAL FOUNDATION ARTS/HUMANITIES
275,45,FEDERAL GRANTS AND CONTRACTS,45161,,PROMOTION OF HUMANITIES RESEARCH
357,45,FEDERAL GRANTS AND CONTRACTS,45312,,NATIONAL LEADERSHIP GRANTS
399,47,FEDERAL GRANTS AND CONTRACTS,47071,,UNDERGRADUATE SCIENCE ENGINEERING AND MATH ED
481,59,FEDERAL GRANTS AND CONTRACTS,59005,,BUSINESS DEVELOPMENT ASSISTANCE TO SMALL BUSINESS
498,64,FEDERAL GRANTS AND CONTRACTS,64005,,GRANTS TO STATES/CONST OF STATE HOME FACILITIES
640,66,FEDERAL GRANTS AND CONTRACTS,66034,,SURVEY/STUDY/INVESTIGATIONS CLEAN AIR ACT
714,06,INSTITUTIONAL REVENUE,06142,,"OTHER EDU, HOSPITAL-LAB FEES, EXAM & OTHER CHARG"
770,06,INSTITUTIONAL REVENUE,06242,,"MEDICAL HOSP LAB FEES, EXAM AND OTHER CHARGES"
846,06,INSTITUTIONAL REVENUE,06411,,"MENTAL HOSPITALS, FOOD SERVICES - BOARD"
13,02,RIGHTS AND PRIVILEGES,02122,,MOTOR VEHICLE LICENSE FEE
117,02,RIGHTS AND PRIVILEGES,02130,,LICENSE TAX
248,02,RIGHTS AND PRIVILEGES,02138,,REAL ESTATE REGULATORY FEES
287,02,RIGHTS AND PRIVILEGES,02146,,BULK FERTILIZER CONTRACTOR LICENSE
336,02,RIGHTS AND PRIVILEGES,02154,,DRIVER IMPROVEMENT SCHOOL APPLICATION FEE
375,02,RIGHTS AND PRIVILEGES,02162,,ANGLING LICENSES
420,02,RIGHTS AND PRIVILEGES,02170,,OVERLOAD PERMITS
454,02,RIGHTS AND PRIVILEGES,02178,,SURFACE DISTURBANCE DEEP MINE PERMIT
521,02,RIGHTS AND PRIVILEGES,02186,,PROPRIETARY SCHOOLS LICENSE FEES
535,02,RIGHTS AND PRIVILEGES,02194,,CHARITABLE SOLICITORS LATE FILING FEES
574,02,RIGHTS AND PRIVILEGES,02202,,MANUFACTURER/DISTRIBUTOR OF FEED LICENSE
610,02,RIGHTS AND PRIVILEGES,02210,,REGISTRATION OF SOIL CONDITIONERS
643,02,RIGHTS AND PRIVILEGES,02218,,PUBLIC RIGHTS-OF-WAY USE FEES
689,02,RIGHTS AND PRIVILEGES,02226,,SUMMER CAMP-ENVIRONMENTAL HEALTH PLAN REVIEW FEE
806,93,FEDERAL GRANTS AND CONTRACTS,93925,,SCHOLARSHIPS FOR DISADVANTAGED STUDENTS
863,93,FEDERAL GRANTS AND CONTRACTS,93944,,HIV/AIDS SURVEILLANCE
922,93,FEDERAL GRANTS AND CONTRACTS,93969,,GRANTS FOR GERIATRIC EDUCATION CENTERS
933,93,FEDERAL GRANTS AND CONTRACTS,93994,,MATERNAL & CHILD HEALTH SERVICES BLOCK GRANT
979,94,FEDERAL GRANTS AND CONTRACTS,94007,,PLANNING AND PROGRAM DEVELOPMENT GRANTS
9,05,ASSESSMENTS AND RECEIPTS FOR SUPPORT FOR SPECIAL SERVICES,05003,,ASSESSMENTS TO INSURANCE COMP & INDUSTRIAL SELF-IN
70,05,ASSESSMENTS AND RECEIPTS FOR SUPPORT FOR SPECIAL SERVICES,05011,,HEAT ASSESSMENT FUND
109,05,ASSESSMENTS AND RECEIPTS FOR SUPPORT FOR SPECIAL SERVICES,05019,,TRUST SUBSIDIARY EXAMINATION FEES
263,05,ASSESSMENTS AND RECEIPTS FOR SUPPORT FOR SPECIAL SERVICES,05027,,EFT INVESTIGATION FEES
277,05,ASSESSMENTS AND RECEIPTS FOR SUPPORT FOR SPECIAL SERVICES,05035,,INDUSTRIAL LOAN ASSESSMENT FEES
316,05,ASSESSMENTS AND RECEIPTS FOR SUPPORT FOR SPECIAL SERVICES,05043,,CONSUMER FINANCE INVESTIGATIONS
383,05,ASSESSMENTS AND RECEIPTS FOR SUPPORT FOR SPECIAL SERVICES,05051,,VIATICAL SETTLEMENT PROVIDER LIC FEE
431,05,ASSESSMENTS AND RECEIPTS FOR SUPPORT FOR SPECIAL SERVICES,05059,,SAVINGS AND LOAN ACQUISITION OF VOTING SHARES
479,05,ASSESSMENTS AND RECEIPTS FOR SUPPORT FOR SPECIAL SERVICES,05067,,VENDOR TRANSACTION FEES
544,05,ASSESSMENTS AND RECEIPTS FOR SUPPORT FOR SPECIAL SERVICES,05077,,PAYDAY LENDER ACQUISITION FEE
555,06,INSTITUTIONAL REVENUE,06001,,HIGHER EDU TUITION
626,06,INSTITUTIONAL REVENUE,06009,,HIGHER EDU PLANNED EXCESS TUITION AND FEES
720,06,INSTITUTIONAL REVENUE,06018,,HIGHER EDU OTHER AUXILIARY ENTERPRISES
828,06,INSTITUTIONAL REVENUE,06029,,HE SALES & SVCS - OTHER AUXILIARIES
896,08,"FINES, FORFEITURES, COURT FEES, CODES, PENALTIES, AND ESCHEATS",08117,,BOILER AND PRESSURE VESSEL FINES AND PENALTIES
15,66,FEDERAL GRANTS AND CONTRACTS,66419,,WATER POLLUTION CONTL-STATE AND INTERSTATE PROG
180,66,FEDERAL GRANTS AND CONTRACTS,66460,,NONPOINT SOURCE IMPLEMENTATION GRANTS
282,66,FEDERAL GRANTS AND CONTRACTS,66472,,BEACH MONITORING/NOTIFICATION PGM DEVELOPMENT GRT
417,66,FEDERAL GRANTS AND CONTRACTS,66604,,ENVIRONMENTAL JUSTICE GRANTS TO SM COMMUNITY GROUP
579,66,FEDERAL GRANTS AND CONTRACTS,66707,,TSCA TITLE IV STATE LEAD GRANTS - CERTIFICATIONS
693,66,FEDERAL GRANTS AND CONTRACTS,66802,,SUPERFUND STATE SITE-SPECIFIC COOP AGREEMENTS
738,66,FEDERAL GRANTS AND CONTRACTS,66950,,ENVIRONMENTAL EDUCATION & TRAINING PROGRAM
942,81,FEDERAL GRANTS AND CONTRACTS,81042,,WEATHERIZATION ASSIST FOR LOW INC PERSONS
1050,02,RIGHTS AND PRIVILEGES,02403,,ATTORNEYS EXAMINATION & REGISTRATION FEES
1058,02,RIGHTS AND PRIVILEGES,02411,,OPTICIAN REGULATORY FEES
1166,02,RIGHTS AND PRIVILEGES,02419,,BARBER AND COSMETOLOGY REGULATORY FEES
1174,02,RIGHTS AND PRIVILEGES,02430,,REGULATORY BOARD CHANGES FEES
1262,02,RIGHTS AND PRIVILEGES,02439,,REAL ESTATE APPRAISERS REGULATORY FEES
1270,02,RIGHTS AND PRIVILEGES,02447,,INTERIOR DESIGN REGULATORY FEES
1278,02,RIGHTS AND PRIVILEGES,02455,,CERTIFICATION OF LICENSURE
1386,02,RIGHTS AND PRIVILEGES,02502,,RENTAL OF STATE PARKS CAMPSITES
1394,02,RIGHTS AND PRIVILEGES,02512,,WATERCRAFT TITLING FEES
1508,02,RIGHTS AND PRIVILEGES,02520,,JAMESTOWN SETTLEMENT ADMISSION RECEIPTS
952,08,"FINES, FORFEITURES, COURT FEES, CODES, PENALTIES, AND ESCHEATS",08122,,GUARDIAN AD LITEM FEES
1028,08,"FINES, FORFEITURES, COURT FEES, CODES, PENALTIES, AND ESCHEATS",08131,,DRIVER CLINIC FEE
1036,08,"FINES, FORFEITURES, COURT FEES, CODES, PENALTIES, AND ESCHEATS",08140,,COURT FEES SUSPENSE ACCOUNT
1144,08,"FINES, FORFEITURES, COURT FEES, CODES, PENALTIES, AND ESCHEATS",08148,,RECOVERY-LEAKING UNDERGROUND STORAGE TANKS
1152,08,"FINES, FORFEITURES, COURT FEES, CODES, PENALTIES, AND ESCHEATS",08182,,CIVIL PENALTIES/CHARGES-ENVIRONMENTAL POLLUTION
1160,08,"FINES, FORFEITURES, COURT FEES, CODES, PENALTIES, AND ESCHEATS",08302,,PENALTIES FOR NON PAYMT OF ABC LIC TAXES BY DUE DA
1237,08,"FINES, FORFEITURES, COURT FEES, CODES, PENALTIES, AND ESCHEATS",08310,,PENALTY DEFICIENCY IN FEED
1305,08,"FINES, FORFEITURES, COURT FEES, CODES, PENALTIES, AND ESCHEATS",08318,,CIVIL PENALTIES FOR DEALER ADVERTISING
1313,08,"FINES, FORFEITURES, COURT FEES, CODES, PENALTIES, AND ESCHEATS",08326,,VIOLATIONS UNDERGROUND UTILITY DAMAGE PREVENT ACT
1401,09,OTHER REVENUE,09002,,COLLECTION FEE ATTORNEY GENERAL'S OFF
1409,09,OTHER REVENUE,09011,,CONSULTATION AGREEMENT MATCH
1417,09,OTHER REVENUE,09027,,AERIAL RELEASE
1505,09,OTHER REVENUE,09048,,RECEIPTS FROM REFUNDS ON AVIATION FUEL TAX
1129,06,INSTITUTIONAL REVENUE,06515,,"CORRECTIONS, INMATE CO-PAY FOR MEDICAL SERVICES"
1322,06,INSTITUTIONAL REVENUE,06535,,"CORRECTIONS, INMATE WORK RELEASE PROGRAM"
1330,06,INSTITUTIONAL REVENUE,06660,,OTHER INSTITUTIONAL MISCELLANEOUS REVENUE
1338,07,"INTEREST, DIVIDEND AND RENTS",07112,,INTEREST ON INVESTMENTS
1446,07,"INTEREST, DIVIDEND AND RENTS",07133,,GAIN (LOSS) ON THE SALE OF INVESTMENTS
1454,07,"INTEREST, DIVIDEND AND RENTS",07305,,RENTAL OF STATE PARKS CABINS
1542,07,"INTEREST, DIVIDEND AND RENTS",07314,,LEASE FOR COMMUNICATION ANTENNAS
1550,08,"FINES, FORFEITURES, COURT FEES, CODES, PENALTIES, AND ESCHEATS",08104,,STATE SHARE-LOCAL MOTOR VEHICLE DECAL FINES
1434,10,FEDERAL GRANTS AND CONTRACTS,10206,,GRANTS FOR AGRICULTURAL RESEARCH-COMPETI RESCH GNT
1522,10,FEDERAL GRANTS AND CONTRACTS,10219,,BIOTECHNOLOGY RISK ASSESSMENT RESEARCH
1530,10,FEDERAL GRANTS AND CONTRACTS,10303,,INTEGRATED PROGRAMS
1538,10,FEDERAL GRANTS AND CONTRACTS,10455,,COMMUNITY OUTREACH AND ASSISTANCE PARTNERSHIP PGM
1606,10,FEDERAL GRANTS AND CONTRACTS,10556,,SPECIAL MILK PROGRAM FOR CHILDREN
1614,10,FEDERAL GRANTS AND CONTRACTS,10568,,EMERGENCY FOOD ASSISTANCE PROGRAM (ADMIN COSTS)
1662,10,FEDERAL GRANTS AND CONTRACTS,10670,,NATIONAL FOREST-DEPENDENT RURAL COMMUNITIES
1369,02,RIGHTS AND PRIVILEGES,02617,,PAY TELEPHONE SERVICES PROVIDER REGISTRATION FEES
1377,02,RIGHTS AND PRIVILEGES,02626,,CENTRAL REGISTRY SEARCH FEES
1485,02,RIGHTS AND PRIVILEGES,02636,,ANIMAL HEALTH LABORATORY FEES
1493,02,RIGHTS AND PRIVILEGES,02644,,X-RAY FEES
1561,02,RIGHTS AND PRIVILEGES,02652,,REINSTATEMENT FEE DRIVER VEH & CHAUF LICENSE FEES
1569,02,RIGHTS AND PRIVILEGES,02660,,ADMINISTRATIVE FEES
1577,02,RIGHTS AND PRIVILEGES,02669,,NON-MEDICAID PEDIATRIC CARE COORDINATION
1645,02,RIGHTS AND PRIVILEGES,02677,,CERTIFICATION OF NEED PROGRAM APPLICATION FEE
1653,02,RIGHTS AND PRIVILEGES,02689,,X-RAY MACHINE INSPECTION FEES
1064,96,FEDERAL GRANTS AND CONTRACTS,96008,,SOCIAL SECURITY-BENEFITS PLANNING/ASSIST/OUTREACH
1072,97,FEDERAL GRANTS AND CONTRACTS,97021,,HAZARDOUS MATERIALS ASSISTANCE PROGRAM
1080,97,FEDERAL GRANTS AND CONTRACTS,97047,,PRE-DISASTER MITIGATION
1188,99,FEDERAL GRANTS AND CONTRACTS,99000,,OTHER ASSIST - UNIDENTIFIED FEDERAL GRANT
1514,10,FEDERAL GRANTS AND CONTRACTS,10854,,RURAL ECONOMIC DEVELOPMENT LOANS & GRANTS
1582,10,FEDERAL GRANTS AND CONTRACTS,10912,,ENVIRONMENTAL QUALITY INCENTIVES PROGRAM
1590,11,FEDERAL GRANTS AND CONTRACTS,11108,,COMMERCIAL SERVICE
1598,11,FEDERAL GRANTS AND CONTRACTS,11417,,SEA GRANT SUPPORT
1686,11,FEDERAL GRANTS AND CONTRACTS,11432,,OFFICE OF OAR COOPERATIVE INSTITUTES
1694,11,FEDERAL GRANTS AND CONTRACTS,11457,,CHESAPEAKE BAY STUDIES
1722,11,FEDERAL GRANTS AND CONTRACTS,11550,,PUBLIC TELECOMMUNICATIONS FACILITIES-CONSTR/PLAN
1730,12,FEDERAL GRANTS AND CONTRACTS,12102,,EMERG REHAB-FLOOD CONTROL/FED AUTH COASTAL PROT
1738,12,FEDERAL GRANTS AND CONTRACTS,12301,,BASIC AND APPLIED SCIENTIFIC RESEARCH
1752,12,FEDERAL GRANTS AND CONTRACTS,12800,,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM
1760,14,FEDERAL GRANTS AND CONTRACTS,14171,,MANUFACTURED HOME CONSTRUCTION/SAFETY STANDARDS
1768,14,FEDERAL GRANTS AND CONTRACTS,14239,,HOME INVESTMENT PARTNERSHIPS PROGRAM
1776,14,FEDERAL GRANTS AND CONTRACTS,14517,,EARLY DOCTORAL STUDENT RESEARCH GRANTS
1475,15,FEDERAL GRANTS AND CONTRACTS,15916,,OUTDOOR REC-ACQUISITION/DEVELOPMENT/PLANNING
1621,16,FEDERAL GRANTS AND CONTRACTS,16300,,LAW ENFORCEMENT ASSISTANCE - FBI ADV POLICE TRAIN
546,05,ASSESSMENTS AND RECEIPTS FOR SUPPORT FOR SPECIAL SERVICES,05079,,PAYDAY LENDER OTHER BUSINESS APPLICATION
588,06,INSTITUTIONAL REVENUE,06003,,"HIGHER EDU GIFTS, GRANTS AND CONTRACTS - PRIVATE"
637,06,INSTITUTIONAL REVENUE,06011,,HIGHER EDU STUDENT AUX SERVICES
754,06,INSTITUTIONAL REVENUE,06022,,HIGHER ED LOCAL - OTHER AUX ENTERPRISES
836,06,INSTITUTIONAL REVENUE,06103,,"OTHER EDU, GIFTS & GRANTS-PRIVATE"
898,08,"FINES, FORFEITURES, COURT FEES, CODES, PENALTIES, AND ESCHEATS",08119,,COMMONWEALTH ATTORNEY FEES
124,66,FEDERAL GRANTS AND CONTRACTS,66432,,STATE PUBLIC WATER SYSTEM SUPERVISION
211,66,FEDERAL GRANTS AND CONTRACTS,66463,,WATER QUALITY COOPERATIVE AGREEMENTS
296,66,FEDERAL GRANTS AND CONTRACTS,66500,,ENVIRONMENTAL PROTECTION-CONSOLIDATED RESEARCH
459,66,FEDERAL GRANTS AND CONTRACTS,66606,,"SURVEYS,STUDIES,INVESTIGATIONS&SPECIAL PURPOSE"
1815,07,"INTEREST, DIVIDEND AND RENTS",07321,,HABITAT RENTS/ROYALTIES
1816,17,FEDERAL GRANTS AND CONTRACTS,17505,,OSHA DATA INITIATIVE
1817,02,RIGHTS AND PRIVILEGES,02233,,COMMISSION SHARING PAYMENTS - DRES
1818,64,FEDERAL GRANTS AND CONTRACTS,64101,,BURIAL EXPENSES ALLOWANCE FOR VETERANS
1819,93,FEDERAL GRANTS AND CONTRACTS,93115,,BIOMETRY/RISK EST-HEALTH RISKS ENVIRONMENTAL EXPOS
1820,93,FEDERAL GRANTS AND CONTRACTS,93155,,RURAL HEALTH RESEARCH CENTERS
1821,93,FEDERAL GRANTS AND CONTRACTS,93889,,NATIONAL BIOTERRORISM HOSPITAL PREPAREDNESS PGM
1822,97,FEDERAL GRANTS AND CONTRACTS,97071,,METROPOLITAN MEDICAL RESPONSE SYSTEM
1855,97,FEDERAL GRANTS AND CONTRACTS,97017,,PRE-DISASTER MITIGATION COMPETITIVE GRANTS
1856,97,FEDERAL GRANTS AND CONTRACTS,97074,,LAW ENFORCEMENT TERRORISM PREVENTION PGM
1857,81,FEDERAL GRANTS AND CONTRACTS,81121,,NUCLEAR ENERGY RESEARCH/DEVELOPMENT/DEMONSTRATION
1858,11,FEDERAL GRANTS AND CONTRACTS,11302,,ECONOMIC DEVELOPMENT-SUPPORT PLANNING ORGANIZATION
1859,84,FEDERAL GRANTS AND CONTRACTS,84938,,HURRICANE RELIEF-TEMP AID FOR DISPLACED STUDENTS
1860,98,FEDERAL GRANTS AND CONTRACTS,98004,,NON-GOVERNMENTAL ORGANIZATION STRENGTHENING
1861,64,FEDERAL GRANTS AND CONTRACTS,64015,,VETERANS STATE NURSING HOME CARE
2070,81,FEDERAL GRANTS AND CONTRACTS,81113,,DEFENSE NUCLEAR NONPROLIFERATION RESEARCH
2071,81,FEDERAL GRANTS AND CONTRACTS,81127,,ENERGY EFFICIENT APPLIANCE REBATE PROG - ARRA
2072,81,FEDERAL GRANTS AND CONTRACTS,81128,,ENERGY EFFICIENCY & CONSERVATION BG PROG-ARRA
2073,81,FEDERAL GRANTS AND CONTRACTS,81137,,DEFENSE NUCLEAR NONPROLIFERATION RESEARCH
2074,84,FEDERAL GRANTS AND CONTRACTS,84384,,STATEWIDE DATA SYSTEMS - ARRA
2075,84,FEDERAL GRANTS AND CONTRACTS,84385,,TEACHER INCENTIVE FUND - ARRA
2076,84,FEDERAL GRANTS AND CONTRACTS,84386,,EDUCATION TECHNOLOGY STATE GRANTS - ARRA
2077,84,FEDERAL GRANTS AND CONTRACTS,84387,,EDUCATION OF HOMELESS CHILDREN AND YOUTH-ARRA
2078,84,FEDERAL GRANTS AND CONTRACTS,84388,,SCHOOL IMPROVEMENT GRANTS - ARRA
2079,84,FEDERAL GRANTS AND CONTRACTS,84389,,TITLE I - GRANTS TO LEAS - ARRA
2080,84,FEDERAL GRANTS AND CONTRACTS,84390,,VR STATE GRANTS - ARRA
2081,84,FEDERAL GRANTS AND CONTRACTS,84391,,SPECIAL EDUCATION GRANTS TO STATES - ARRA
2082,84,FEDERAL GRANTS AND CONTRACTS,84392,,SPECIAL EDUCATION - PRESCHOOL GRANTS - ARRA
2083,84,FEDERAL GRANTS AND CONTRACTS,84393,,SPECIAL ED - GRANTS FOR INFANTS AND FAMILIES-ARRA
2084,84,FEDERAL GRANTS AND CONTRACTS,84394,,ST FISCAL STABILIZATION FUND-ED ST GRANTS -ARRA
2085,84,FEDERAL GRANTS AND CONTRACTS,84395,,ST FISCAL STABILIZATION FUND-ST INCENTIVE -ARRA
2086,84,FEDERAL GRANTS AND CONTRACTS,84396,,ST FISCAL STABILIZATION FUND-INNOVATION FUND-ARRA
2087,84,FEDERAL GRANTS AND CONTRACTS,84397,,ST FISCAL STABILIZATION FUND-GOVRNMNT SERV -ARRA
2088,84,FEDERAL GRANTS AND CONTRACTS,84398,,INDEPENDENT LIVING - STATE GRANTS - ARRA
2089,84,FEDERAL GRANTS AND CONTRACTS,84399,,INDEPENDENT LIVING-SERV OLDER BLIND INDVIDUAL-ARRA
2090,84,FEDERAL GRANTS AND CONTRACTS,84400,,INDEPENDENT LIVING-CENTERS -ARRA
2091,84,FEDERAL GRANTS AND CONTRACTS,84401,,IMPACT AID CONSTRUCTION -ARRA
2092,84,FEDERAL GRANTS AND CONTRACTS,84402,,CONSOLIDATED GRANTS FOR OUTLYING AREAS -ARRA
2093,84,FEDERAL GRANTS AND CONTRACTS,84404,,IMPACT AID-SCHOOL CONSTRUCTION FORMULA GRANT-ARRA
2094,84,FEDERAL GRANTS AND CONTRACTS,84405,,TEACHER QUALITY ENHANCEMENT PARTNERSHIPS-ARRA
2095,93,FEDERAL GRANTS AND CONTRACTS,93701,,TRANS-NIH RECOVERY ACT RESEARCH SUPPORT -ARRA
2096,93,FEDERAL GRANTS AND CONTRACTS,93702,,NCRR RECOVERY ACT CONSTRUCTION SUPPORT -ARRA
2097,93,FEDERAL GRANTS AND CONTRACTS,93703,,HLTH CNTR INTEGRATED SERV DEVLPMNT INITIATIVE-ARRA
2098,93,FEDERAL GRANTS AND CONTRACTS,93704,,TRANS-NIH RECOVERY ACT LOAN REPAYMENT SUPPORT-ARRA
2099,93,FEDERAL GRANTS AND CONTRACTS,93705,,AGING HOME-DELIVERED NUTRITION SERVICES - ARRA
2100,93,FEDERAL GRANTS AND CONTRACTS,93706,,AGING NUTRITION SERVICES FOR NATIVE AMERICANS-ARRA
2101,93,FEDERAL GRANTS AND CONTRACTS,93707,,AGING CONGREGATE NUTRITION SERVICES - ARRA
2102,97,FEDERAL GRANTS AND CONTRACTS,97065,,HOMELAND SECURITY ADVANCED RESEARCH PRJ AGY
2103,97,FEDERAL GRANTS AND CONTRACTS,97075,,RAIL AND TRANSIT SECURITY GRANT PROGRAM
2104,97,FEDERAL GRANTS AND CONTRACTS,97110,,SEVERE LOSS REPETITIVE PROGRAM
2105,97,FEDERAL GRANTS AND CONTRACTS,97112,,BORDER INFRASTRUCTURE IMPROVEMENT PROJECTS
2106,97,FEDERAL GRANTS AND CONTRACTS,97113,,ARRA RAIL & TRANSIT SECURITY GRANT PROG -ARRA
2107,97,FEDERAL GRANTS AND CONTRACTS,97114,,EMERGENCY FOOD & SHELTER NATIONAL BOARD PROG-ARRA
2108,97,FEDERAL GRANTS AND CONTRACTS,97115,,ASSISTANCE TO FIREFIGHTERS AFG - ARRA
2109,97,FEDERAL GRANTS AND CONTRACTS,97116,,PORT SECURITY GRANT PROGRAM - ARRA
2110,16,FEDERAL GRANTS AND CONTRACTS,16743,,FORENSIC CASEWORK DNA BACKLOG REDUCTION PROGRAM
2111,20,FEDERAL GRANTS AND CONTRACTS,20607,,ALCOHOL OPEN CONTAINER REQUIREMENTS
2120,02,RIGHTS AND PRIVILEGES,02112,,MOTOR CARRIER UCRA REGISTRATION & RENEWALS
2135,02,RIGHTS AND PRIVILEGES,02128,,MOTOR VEHICLE LICENSE FEE INCREASE
2136,02,RIGHTS AND PRIVILEGES,02155,,DEALER BOARD QUALIFICATION TEST FEES
2137,02,RIGHTS AND PRIVILEGES,02157,,PETITION FOR ADOPTION FILING FEE
2138,02,RIGHTS AND PRIVILEGES,02196,,DIGITAL MEDIA FEE
2139,02,RIGHTS AND PRIVILEGES,02433,,CLIENTS PROTECTION FUND FEE
2140,02,RIGHTS AND PRIVILEGES,02629,,MOTOR VEHICLE TEMPORARY LICENSE PLATE FEES
2141,02,RIGHTS AND PRIVILEGES,02680,,TECHNOLOGY FEE FOR COMMISSIONING OF NOTARY PUBLIC
306,45,FEDERAL GRANTS AND CONTRACTS,45164,,PROMOTION OF THE HUMANITIES-PUBLIC PROGRAMS
385,47,FEDERAL GRANTS AND CONTRACTS,47049,,MATHEMATICAL & PHYSICAL SCIENCES
425,47,FEDERAL GRANTS AND CONTRACTS,47076,,EDUCATION AND HUMAN RESOURCES
487,59,FEDERAL GRANTS AND CONTRACTS,59037,,SMALL BUSINESS DEVELOPMENT CENTER
526,64,FEDERAL GRANTS AND CONTRACTS,64124,,ALL-VOLUNTEER FORCE EDUCATIONAL ASSISTANCE
703,06,INSTITUTIONAL REVENUE,06113,,OTHER EDUC LAUNDRY
762,06,INSTITUTIONAL REVENUE,06162,,COMMONWEALTH HEALTH RESEARCH
776,06,INSTITUTIONAL REVENUE,06250,,INDIGENT HEALTH CARE TRUST FUND
852,06,INSTITUTIONAL REVENUE,06426,,"MENTAL HOSPITALS, SALES - MISCELLANEOUS"
68,02,RIGHTS AND PRIVILEGES,02125,,"BOXERS, WRESTLERS, MANAGERS & TRAINERS LICENSES"
160,02,RIGHTS AND PRIVILEGES,02133,,SEAFOOD INDUSTRY MISCELLANEOUS LICENSES & PERMITS
257,02,RIGHTS AND PRIVILEGES,02141,,NURSERIES & NURSERY STOCK SALESMEN & AGENTS REG FE
290,02,RIGHTS AND PRIVILEGES,02149,,AIRPORTS & LANDING AREAS LICENSES
406,02,RIGHTS AND PRIVILEGES,02165,,MOTOR BOAT LICENSES
446,02,RIGHTS AND PRIVILEGES,02173,,HIGHWAY PERMIT FEES
485,02,RIGHTS AND PRIVILEGES,02181,,VA MEMBERSHIP CAMPING ACT LATE FILING FEE
527,02,RIGHTS AND PRIVILEGES,02189,,VA MEMBERSHIP CAMPING REGISTRATION FEES
566,02,RIGHTS AND PRIVILEGES,02197,,MEDIATION TRAINING FEE
602,02,RIGHTS AND PRIVILEGES,02205,,WEIGHTS AND MEASURES BUSINESS REGISTRATION FEE
613,02,RIGHTS AND PRIVILEGES,02213,,SEED LICENSE
649,02,RIGHTS AND PRIVILEGES,02221,,EMS - TRAUMA VERIFICATION FEE
721,02,RIGHTS AND PRIVILEGES,02229,,CAMPGROUND-ENVIRONMENTAL HEALTH PERMIT FEE
812,93,FEDERAL GRANTS AND CONTRACTS,93934,,FOGARTY INTERNATIONAL RCH COLLABORATION AWARD (B)
869,93,FEDERAL GRANTS AND CONTRACTS,93955,,HEALTH AND SAFTEY PROG CONSTRUCTION WORK
928,93,FEDERAL GRANTS AND CONTRACTS,93984,,ACADEMIC ADMINISTRATIVE UNITS IN PRIMARY CARE
939,94,FEDERAL GRANTS AND CONTRACTS,94001,,HIGHER EDUCATION INNOVATIVE PROJECTS
62,05,ASSESSMENTS AND RECEIPTS FOR SUPPORT FOR SPECIAL SERVICES,05006,,PUBLIC DEFENDER'S FEES
76,05,ASSESSMENTS AND RECEIPTS FOR SUPPORT FOR SPECIAL SERVICES,05014,,RENTAL RECEIPTS OF STATE BUILDINGS
