OBJ_OBJECT_KEY,2-DIGIT OBJECT CODE,2-DIGIT OBJECT NAME,4-DIGIT OBJECT CODE,4-DIGIT OBJECT NAME
331,11,PERSONAL SERVICES,1136,WORK PROGRAMS
332,11,PERSONAL SERVICES,1137,EMPLOYEE SUGGESTION AWARDS
333,13,SUPPLIES AND MATERIALS,1364,LAUNDRY & LINEN SUPPLIES
334,13,SUPPLIES AND MATERIALS,1365,PERSONAL CARE SUPPLIES
335,13,SUPPLIES AND MATERIALS,1371,AGRICULTURAL SUPPLIES
336,31,OBLIGATIONS,3121,ANTICIPATION LOAN INTEREST RETIREMENT
337,31,OBLIGATIONS,3131,ANTICIPATION LOAN INTEREST RETIREMENT
338,31,OBLIGATIONS,3132,MORTGAGE LOAN INTEREST RETIREMENT
339,13,SUPPLIES AND MATERIALS,1372,ARCHITECTURAL & ENGINEERING SUPPLIES
340,13,SUPPLIES AND MATERIALS,1373,COMPUTER OPERATING SUPPLIES
341,11,PERSONAL SERVICES,1138,DEFERRED COMPENSATION MATCH PAYMENTS
342,11,PERSONAL SERVICES,1139,SPECIAL PAYMENTS FOR ACADEMIC SERVICES
343,11,PERSONAL SERVICES,1141,"WAGES, GENERAL"
344,11,PERSONAL SERVICES,1142,"WAGES, GRADUATE ASSISTANT"
345,11,PERSONAL SERVICES,1143,"WAGES, OVERTIME"
346,11,PERSONAL SERVICES,1144,"WAGES, STUDENT"
347,13,SUPPLIES AND MATERIALS,1374,EDUCATIONAL SUPPLIES
348,13,SUPPLIES AND MATERIALS,1375,FISH & WILDLIFE SUPPLIES
350,11,PERSONAL SERVICES,1145,"WAGES, TEACHING & RESEARCH PART-TIME"
351,11,PERSONAL SERVICES,1146,"WAGES, FEDERAL WORK STUDY STUDENT"
352,11,PERSONAL SERVICES,1147,"WAGES, SUBSTITUTE JUDGES"
353,31,OBLIGATIONS,3195,UNDISTRIBUTED OBLIGATIONS
354,31,OBLIGATIONS,3196,INDIRECT COST RCVRY AUX PGM FOR OBLIGATIONS
355,31,OBLIGATIONS,3198,INTER-AGENCY RECOVERIES FOR OBLIGATIONS
356,11,PERSONAL SERVICES,1148,"WAGES, STATE WORK STUDY STUDENT"
357,11,PERSONAL SERVICES,1149,"WAGES, INFORMATION TECHNOLOGY EMPLOYEES"
358,11,PERSONAL SERVICES,1151,WORKERS' COMPENSATION AWARDS
359,11,PERSONAL SERVICES,1152,SUPPLEMENTAL WORKERS' COMPENSATION AWARDS
360,11,PERSONAL SERVICES,1153,SHORT-TERM DISABILITY BENEFITS
361,15,CONTINUOUS CHARGES,1525,BUILDING CAPITAL LEASES
362,15,CONTINUOUS CHARGES,1526,LAND CAPITAL LEASES
363,15,CONTINUOUS CHARGES,1527,LAND AND BUILDING CAPITAL LEASES
364,15,CONTINUOUS CHARGES,1531,COMPUTER PERIPHERAL RENTALS
365,15,CONTINUOUS CHARGES,1532,COMPUTER PROCESSOR RENTALS
366,15,CONTINUOUS CHARGES,1533,COMPUTER SOFTWARE RENTALS
367,31,OBLIGATIONS,3199,INTRA-AGENCY RECOVERIES FOR OBLIGATIONS
368,41,UNDIST BUDGET AMOUNTS,4100,UNDISTRIBUTED BUDGET AMOUNTS
369,41,UNDIST BUDGET AMOUNTS,4101,SUM SUFFICIENT RECOVERY
370,15,CONTINUOUS CHARGES,1534,EQUIPMENT RENTALS
371,15,CONTINUOUS CHARGES,1535,BUILDING RENTALS
372,15,CONTINUOUS CHARGES,1536,LAND RENTALS
373,51,UNDIST SAVINGS AMOUNT,5100,UNDISTRIBUTED SAVINGS AMOUNT
374,51,UNDIST SAVINGS AMOUNT,5101,UNDISTRIBUTED SAVINGS AMOUNTS/NGF
375,61,UNDIST BIENNIAL BUDGET AMOUNTS,6100,UNDISTRIBUTED BIENNIAL BUDGET AMOUNTS
376,15,CONTINUOUS CHARGES,1537,LAND AND BUILDING RENTALS
377,15,CONTINUOUS CHARGES,1541,AGENCY SERVICE CHARGES
378,15,CONTINUOUS CHARGES,1542,ELECTRICAL SERVICE CHARGES
379,62,UNDIST NONPERS SVC REDUCT,6200,UNDISTRIBUTED NONPERSONAL SVC ACROSS-THE-BD REDUCT
380,71,UNDIST AMENDED BUDGET AMOUNTS,7100,UNDISTRIBUTED AMENDED BUDGET AMOUNTS
381,11,PERSONAL SERVICES,1154,SUPPLEMENTAL DISABILITY BENEFITS
382,11,PERSONAL SERVICES,1158,RECOVERIES FOR WORKERS' COMPENSATION AWARDS
383,11,PERSONAL SERVICES,1161,EARLY RETIREMENT INCENTIVE PAYMENTS
384,15,CONTINUOUS CHARGES,1543,REFUSE SERVICE CHARGES
385,15,CONTINUOUS CHARGES,1544,WATER & SEWER SERVICE CHARGES
386,15,CONTINUOUS CHARGES,1545,DGS PARKING CHARGES
387,11,PERSONAL SERVICES,1162,"SALARIES, ANNUAL LEAVE BALANCES"
388,11,PERSONAL SERVICES,1163,"SALARIES, SICK LEAVE BALANCES"
389,11,PERSONAL SERVICES,1164,"SALARIES, COMPENSATORY LEAVE BALANCES"
390,15,CONTINUOUS CHARGES,1546,SPCC AND EDI CHECK FEES
391,15,CONTINUOUS CHARGES,1547,PRIVATE VENDOR SERVICE CHARGES
392,15,CONTINUOUS CHARGES,1551,GENERAL LIABILITY INSURANCE
393,11,PERSONAL SERVICES,1171,WTA - PAYMENTS FOR TRANSITIONAL SEVERANCE BENEFITS
394,11,PERSONAL SERVICES,1172,WTA- FED OLD-AGE INSURANCE SALARIED STATE EMPLOYEE
395,11,PERSONAL SERVICES,1173,WTA - MEDICAL/HOSPITALIZATION INSURANCE
396,15,CONTINUOUS CHARGES,1552,MONEY & SECURITIES INSURANCE
397,15,CONTINUOUS CHARGES,1553,PAY ST INSURANCE TRUST FD
398,15,CONTINUOUS CHARGES,1554,SURETY BONDS
399,11,PERSONAL SERVICES,1174,WTA - GROUP LIFE INSURANCE
400,11,PERSONAL SERVICES,1175,WTA - EARLY RETIREMENT PAYMENTS
401,81,ANTICIPATION LOAN PRNCPLE RET,8100,ANTICIPATION LOAN PRINCIPLE RETIREMENT
402,86,UNDISTRIB LEGISLATIVE APPROP,8600,UNDISTRIBUTED LEGISLATIVE APPROPRIATION
403,87,INDIRECT COSTS,8700,INDIRECT COSTS
404,11,PERSONAL SERVICES,1176,"WTA - SALARIES, ANNUAL LEAVE BALANCES"
405,11,PERSONAL SERVICES,1177,"WTA - SALARIES, SICK LEAVE BALANCES"
406,11,PERSONAL SERVICES,1178,"WTA - SALARIES, COMPENSATORY LEAVE BALANCES"
407,88,CONTINGENCY EXPENSES,8800,CONTINGENCY EXPENSES
408,89,PROBUD REDISTRIBUTION CODE,8900,PROBUD REDISTRIBUTION CODE
409,90,UNDISTRIB AMENDED APPROP,9000,UNDISTRIBUTED AMENDED APPROPRIATION
410,11,PERSONAL SERVICES,1179,WTA - UNEMPLOYMENT COMPENSATION AWARDS
411,11,PERSONAL SERVICES,1184,FTE-UNDIST AMEND LEG APPR
412,11,PERSONAL SERVICES,1185,"FTE, UNDISTRIBUTED LEGISLATIVE APPROPRIATION"
413,91,SUBGRANTS TO STATE AGENCIES,9100,SUBGRANTS TO STATE AGENCIES
416,11,PERSONAL SERVICES,1186,UNDISTRIBUTED REGRADE FUNDS
417,11,PERSONAL SERVICES,1187,NONGENERAL FUND G TRANSACTION SUPPLEMENT
418,11,PERSONAL SERVICES,1188,UNALLOTTED PERSONAL SERVICES
419,15,CONTINUOUS CHARGES,1555,WORKERS' COMPENSATION
420,15,CONTINUOUS CHARGES,1561,COMPUTER PERIPHERAL INSTALLMENT PURCHASES
421,15,CONTINUOUS CHARGES,1562,COMPUTER PROCESSOR INSTALLMENT PURCHASES
422,15,CONTINUOUS CHARGES,1563,COMPUTER SOFTWARE INSTALLMENT PURCHASES
423,15,CONTINUOUS CHARGES,1564,EQUIPMENT INSTALLMENT PURCHASES
424,15,CONTINUOUS CHARGES,1565,BUILDING INSTALLMENT PURCHASES
425,15,CONTINUOUS CHARGES,1566,LAND INSTALLMENT PURCHASES
426,15,CONTINUOUS CHARGES,1571,ADMINISTRATIVE COSTS
427,15,CONTINUOUS CHARGES,1572,COST CONTAINMENT
428,15,CONTINUOUS CHARGES,1573,HEALTH CARE CLAIMS
429,15,CONTINUOUS CHARGES,1574,HEALTH MAINTENANCE ORGANIZATION COSTS
430,15,CONTINUOUS CHARGES,1575,CONSULTING COSTS
431,15,CONTINUOUS CHARGES,1591,UNDISTRIBUTED CONTINUOUS CHARGES RECOVERIES
432,15,CONTINUOUS CHARGES,1595,UNDISTRIBUTED CONTINUOUS CHARGES
433,15,CONTINUOUS CHARGES,1596,INDIRECT COST RCVRY AUX PGM FOR CONTINUOUS CHARGES
434,15,CONTINUOUS CHARGES,1597,LATE PAYMENT PENALTIES FOR CONTINUOUS CHARGES
435,15,CONTINUOUS CHARGES,1598,INTER AGENCY RECOVERIES FOR CONTINUOUS CHARGES
436,15,CONTINUOUS CHARGES,1599,INTRA-AGENCY RECOVERIES FOR CONTINUOUS CHARGES
437,16,UNALLOTTED NONPERSONAL SERVICES,1611,UNALLOTTED NONPERSONAL SERVICES
438,16,UNALLOTTED NONPERSONAL SERVICES,1612,UNALLOTTED NP SVCS 2% RED
439,21,PROPERTY IMPROVEMENTS,2111,"ACQUISITION, PROPERTY"
440,21,PROPERTY IMPROVEMENTS,2112,"ACQUISITION, RIGHTS-OF-WAY"
441,21,PROPERTY IMPROVEMENTS,2113,"ACQUISITION, WATERWAYS & IMPROVEMENTS"
442,21,PROPERTY IMPROVEMENTS,2121,ANIMALS
443,21,PROPERTY IMPROVEMENTS,2122,MINERALS
444,21,PROPERTY IMPROVEMENTS,2123,PLANTS
445,21,PROPERTY IMPROVEMENTS,2131,SITE IMPROVEMENTS
446,21,PROPERTY IMPROVEMENTS,2132,SITE PREPARATION
447,21,PROPERTY IMPROVEMENTS,2133,UTILITIES
448,21,PROPERTY IMPROVEMENTS,2191,UNDISTRIBUTED PROPERTY & IMPROVEMENTS RECOVERY
449,21,PROPERTY IMPROVEMENTS,2195,UNDISTRIBUTED PROPERTY AND IMPROVEMENTS
450,21,PROPERTY IMPROVEMENTS,2196,INDIRECT COST RCVRY AUX PGM PROPERTY/IMPROVEMENTS
451,21,PROPERTY IMPROVEMENTS,2197,LATE PAYMENT PENALTIES FOR PROPERTY & IMPROVEMENTS
452,21,PROPERTY IMPROVEMENTS,2198,INTER-AGENCY RECOVERIES FOR PROPERTY/IMPROVEMENTS
453,21,PROPERTY IMPROVEMENTS,2199,INTRA-AGENCY RECOVERIES FOR PROPERTY & IMPROVEMENT
454,22,EQUIPMENT,2209,CHARGE CARD PURCHASES OF EQUIPMENT
457,11,PERSONAL SERVICES,11LF,PERSONAL SERVICES - LOCAL FUNDS
458,12,CONTRACTUAL SERVICES,12LF,CONTRACTURAL SERVICES - LOCAL FUNDS
459,13,SUPPLIES AND MATERIALS,13LF,SUPPLIES AND MATERIALS - LOCAL FUNDS
460,14,TRANSFER PAYMENTS,14LF,TRANSFER PAYMENTS - LOCAL FUNDS
461,15,CONTINUOUS CHARGES,15LF,CONTINUOUS CHARGES - LOCAL FUNDS
462,21,PROPERTY IMPROVEMENTS,21LF,PROPERTY IMPROVEMENTS - LOCAL FUNDS
463,22,EQUIPMENT,22LF,EQUIPMENT - LOCAL FUNDS
464,23,PLANT AND IMPROVEMENTS,23LF,PLANT AND IMPROVEMENTS - LOCAL FUNDS
465,31,OBLIGATIONS,31LF,OBLIGATIONS - LOCAL FUNDS
466,87,INDIRECT COSTS,87LF,INDIRECT COSTS - LOCAL FUNDS
474,11,PERSONAL SERVICES,1166,DEFINED CONTRIBUTION MATCH-VRS HYBRID RETIRE PLAN
484,12,CONTRACTUAL SERVICES,1249,RECRUITMENT ADVERTISING
485,12,CONTRACTUAL SERVICES,1278,VITA INFO TECH INFRASTRUCTURE SERVICES (VITA)
502,11,PERSONAL SERVICES,1182,UNFUNDED VACANT POSITIONS
503,14,TRANSFER PAYMENTS,1416,PAYMENTS ON BEHALF OF INDIVIDUALS
504,24,UNALLOTTED CAPITAL AMOUNT,24LF,UNALLOTTED CAPITAL AMOUNT - LOCAL FUNDS
524,11,PERSONAL SERVICES,1165,EMPLOYEE RETIRE CONTRIBUTIONS-DEFINED BENEFITS PRG
525,15,CONTINUOUS CHARGES,1538,BUILDING RENTALS - STATE OWNED
526,15,CONTINUOUS CHARGES,1539,BLDG RENTALS-NON-STATE OWNED FACIL (ADMIN BY DGS)
544,14,TRANSFER PAYMENTS,1459,TIER III GENERAL FUND DISTRIBUTIONS
564,14,TRANSFER PAYMENTS,1426,PAYOUTS TO STATE 529 PLANS INVSTMNT MNGEMNT FIRM
584,12,CONTRACTUAL SERVICES,1292,VITA Service Provider to Out of Scope Agencies
