SPRG_SUB_PROGRAM_KEY,PFCN_FUNCTION_CODE,PFCN_FUNCTION_NAME,PRG_PROGRAM_CODE,PRG_PROGRAM_NAME,SPRG_SUB_PROGRAM_CODE,,SPRG_SUB_PROGRAM_NAME
2488,1,EDUCATION,101,HIGHER EDUCATION INSTRUCTION,10160,,OYSTER PROPAGATION AND HABITAT IMPROVEMENT
2489,1,EDUCATION,101,HIGHER EDUCATION INSTRUCTION,10170,,ENVIRONMENTAL RESEARCH AND COORDINATION
2490,1,EDUCATION,101,HIGHER EDUCATION INSTRUCTION,10171,,WATER SUPPLY ENGINEERING
2491,1,EDUCATION,101,HIGHER EDUCATION INSTRUCTION,10180,,WASTE INSPECTION MANAGEMENT
2492,1,EDUCATION,101,HIGHER EDUCATION INSTRUCTION,10191,,WATER QUALITY RESEARCH
2493,7,GENERAL GOVERNMENT,708,TRANSITION SUPPORT,70899,,OTHER SERVICES
2494,7,GENERAL GOVERNMENT,709,INFORMATION SYSTEMS SERVICES,70901,,PREVENTION OF & RESPONSE TO CHEMICAL EMERGENCIES
2495,7,GENERAL GOVERNMENT,709,INFORMATION SYSTEMS SERVICES,70902,,INTERAGENCY & INTERGOVERNMENTAL COORDINATION
2496,7,GENERAL GOVERNMENT,732,REVENUE ADMINISTRATION SERVICES,73299,,WASTE DISPOSAL SITE REMEDIATION
2498,7,GENERAL GOVERNMENT,734,TAX VALUE ASSISTANCE TO LOCALITIES,73402,,HIGHER EDUCATION FISCAL PLANNING AND REVIEW
2499,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56042,,ARCHITECTURAL AND ENGINEERING SERVICES
2500,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56043,,NURSING MANAGEMENT AND DIRECTION
2501,1,EDUCATION,140,PERFORMING ARTS,14001,,RECREATION SERVICES
2502,1,EDUCATION,140,PERFORMING ARTS,14002,,OTHER SERVICES
2503,1,EDUCATION,140,PERFORMING ARTS,14003,,ART EXTENSION SERVICES
2504,5,RESOURCE AND ECONOMIC DEVELOPMENT,512,ENVIRONMENTAL RESOURCES MANAGEMENT,51212,,VIRGINIA LIBRARY INFORMATION NETWORK SERVICES
2505,5,RESOURCE AND ECONOMIC DEVELOPMENT,512,ENVIRONMENTAL RESOURCES MANAGEMENT,51213,,OTHER SERVICES
2506,5,RESOURCE AND ECONOMIC DEVELOPMENT,512,ENVIRONMENTAL RESOURCES MANAGEMENT,51214,,FOOD AND DIETARY SERVICES
2507,5,RESOURCE AND ECONOMIC DEVELOPMENT,512,ENVIRONMENTAL RESOURCES MANAGEMENT,51215,,PLANNING AND EVALUATION SERVICES
2508,5,RESOURCE AND ECONOMIC DEVELOPMENT,512,ENVIRONMENTAL RESOURCES MANAGEMENT,51216,,TEACHER MANAGEMENT AND DIRECTION
2509,5,RESOURCE AND ECONOMIC DEVELOPMENT,512,ENVIRONMENTAL RESOURCES MANAGEMENT,51217,,FINANCIAL ASST FOR VOCATIONAL ED INSTRUCTION
2510,1,EDUCATION,140,PERFORMING ARTS,14099,,FINANCIAL ASST FOR ED TELECOMMUNICATIONS
2511,1,EDUCATION,142,STATEWIDE LIBRARY SERVICES,14201,,GRANT AND LOAN ADMINISTRATION
2512,1,EDUCATION,142,STATEWIDE LIBRARY SERVICES,14202,,MEDICAL MANAGEMENT AND DIRECTION
2513,5,RESOURCE AND ECONOMIC DEVELOPMENT,512,ENVIRONMENTAL RESOURCES MANAGEMENT,51218,,RECORDS RETENTION AND WORD PROCESSING SERVICES
2514,5,RESOURCE AND ECONOMIC DEVELOPMENT,512,ENVIRONMENTAL RESOURCES MANAGEMENT,51219,,GRANT AND LOAN ADMINISTRATION
2515,5,RESOURCE AND ECONOMIC DEVELOPMENT,512,ENVIRONMENTAL RESOURCES MANAGEMENT,51220,,REGULATION OF CORRECTIONAL FACILITIES
2516,5,RESOURCE AND ECONOMIC DEVELOPMENT,512,ENVIRONMENTAL RESOURCES MANAGEMENT,51221,,ADULT REHABILITATION AND TREATMENT SERVICES
2517,5,RESOURCE AND ECONOMIC DEVELOPMENT,512,ENVIRONMENTAL RESOURCES MANAGEMENT,51299,,CENTRAL CLASSIFICATION
2518,5,RESOURCE AND ECONOMIC DEVELOPMENT,513,ENVIRONMENTAL RESEARCH & PLANNING,51303,,ARCHITECTURAL AND ENGINEERING SERVICES
2519,5,RESOURCE AND ECONOMIC DEVELOPMENT,513,ENVIRONMENTAL RESEARCH & PLANNING,51305,,NURSING MANAGEMENT AND DIRECTION
2520,5,RESOURCE AND ECONOMIC DEVELOPMENT,513,ENVIRONMENTAL RESEARCH & PLANNING,51306,,RECREATION SERVICES
2521,7,GENERAL GOVERNMENT,734,TAX VALUE ASSISTANCE TO LOCALITIES,73403,,OTHER SERVICES
2522,7,GENERAL GOVERNMENT,734,TAX VALUE ASSISTANCE TO LOCALITIES,73404,,EMERGENCY TRANSPORTATION AND SERVICES
2523,7,GENERAL GOVERNMENT,734,TAX VALUE ASSISTANCE TO LOCALITIES,73405,,OTHER SERVICES
2524,7,GENERAL GOVERNMENT,709,INFORMATION SYSTEMS SERVICES,70999,,HEALTH PROMOTIONAND CHRONIC DISEASE PREVENTION
2525,7,GENERAL GOVERNMENT,711,INFORMATION SYSTEMS MANAGEMENT AND DIRECTION,71101,,BUILDING OPERATIONS
2526,7,GENERAL GOVERNMENT,711,INFORMATION SYSTEMS MANAGEMENT AND DIRECTION,71102,,OTHER SERVICES
2527,7,GENERAL GOVERNMENT,734,TAX VALUE ASSISTANCE TO LOCALITIES,73406,,FOOD AND DIETARY SERVICES
2528,7,GENERAL GOVERNMENT,734,TAX VALUE ASSISTANCE TO LOCALITIES,73407,,PLANNING AND EVALUATION SERVICES
2529,7,GENERAL GOVERNMENT,734,TAX VALUE ASSISTANCE TO LOCALITIES,73408,,TEACHER MANAGEMENT AND DIRECTION
2530,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56044,,COMPUTER SERVICES
2531,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56045,,MEDICAL AND CLINICAL SERVICES
2532,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56099,,PUBLIC INFORMATION SERVICES
2533,7,GENERAL GOVERNMENT,711,INFORMATION SYSTEMS MANAGEMENT AND DIRECTION,71103,,VESSEL OPERATION SERVICES
2536,7,GENERAL GOVERNMENT,734,TAX VALUE ASSISTANCE TO LOCALITIES,73409,,FINANCIAL AND COMPLIANCE AUDITS
2537,7,GENERAL GOVERNMENT,734,TAX VALUE ASSISTANCE TO LOCALITIES,73499,,FACILITY/COMMINITY PROGRAMS INSPECTION/MONITORING
2539,1,EDUCATION,102,HIGHER EDUCATION RESEARCH,10210,,HOUSEKEEPING SERVICES
2540,1,EDUCATION,102,HIGHER EDUCATION RESEARCH,10220,,FOOD AND DIETARY SERVICES
2542,1,EDUCATION,142,STATEWIDE LIBRARY SERVICES,14204,,HIGHWAY PATROL SERVICES
2543,1,EDUCATION,142,STATEWIDE LIBRARY SERVICES,14205,,CRIMINAL JUSTICE PLANNING
2544,1,EDUCATION,191,STATE EDUCATION SERVICES,19104,,ARCHITECTURAL AND ENGINEERING SERVICES
2545,1,EDUCATION,191,STATE EDUCATION SERVICES,19105,,NURSING MANAGEMENT AND DIRECTION
2546,1,EDUCATION,191,STATE EDUCATION SERVICES,19106,,RECREATION SERVICES
2547,5,RESOURCE AND ECONOMIC DEVELOPMENT,513,ENVIRONMENTAL RESEARCH & PLANNING,51307,,OTHER SERVICES
2548,5,RESOURCE AND ECONOMIC DEVELOPMENT,513,ENVIRONMENTAL RESEARCH & PLANNING,51399,,OTHER COURT COSTS AND ALLOWANCES (CRIMINAL FUND)
2549,5,RESOURCE AND ECONOMIC DEVELOPMENT,514,ENVIRONMENTAL MONITORING & EVALUATION,51401,,ADJUDICATORY INFORMATION
2550,1,EDUCATION,142,STATEWIDE LIBRARY SERVICES,14299,,JUDICIAL TRAINING
2552,1,EDUCATION,143,FIN ASSIST FOR CULTURAL AND ARTISTIC AFFAIRS,14302,,OTHER SERVICES
2553,1,EDUCATION,191,STATE EDUCATION SERVICES,19107,,HOUSEKEEPING SERVICES
2554,1,EDUCATION,191,STATE EDUCATION SERVICES,19108,,POWER PLANT OPERATION
2555,1,EDUCATION,191,STATE EDUCATION SERVICES,19109,,ENGINEERING
2556,5,RESOURCE AND ECONOMIC DEVELOPMENT,514,ENVIRONMENTAL MONITORING & EVALUATION,51405,,CONSTRUCTION MANAGEMENT
2557,5,RESOURCE AND ECONOMIC DEVELOPMENT,514,ENVIRONMENTAL MONITORING & EVALUATION,51406,,PRIMARY MAINTENANCE
2558,5,RESOURCE AND ECONOMIC DEVELOPMENT,514,ENVIRONMENTAL MONITORING & EVALUATION,51407,,OTHER SERVICES
2561,5,RESOURCE AND ECONOMIC DEVELOPMENT,549,ADMINISTRATIVE AND SUPPORT SERVICES,54908,,FINANCIAL ASSISTANCE FOR COUNTY ROAD MAINTENANCE
2562,5,RESOURCE AND ECONOMIC DEVELOPMENT,549,ADMINISTRATIVE AND SUPPORT SERVICES,54909,,FEDERAL AND REGULATORY PROGRAMS
2563,5,RESOURCE AND ECONOMIC DEVELOPMENT,549,ADMINISTRATIVE AND SUPPORT SERVICES,54910,,ACCOUNTING AND BUDGETING SERVICES
2564,5,RESOURCE AND ECONOMIC DEVELOPMENT,549,ADMINISTRATIVE AND SUPPORT SERVICES,54911,,MEDICAL MANAGEMENT AND DIRECTION
2565,5,RESOURCE AND ECONOMIC DEVELOPMENT,549,ADMINISTRATIVE AND SUPPORT SERVICES,54913,,RECORDS RETENTION AND WORD PROCESSING SERVICES
2566,5,RESOURCE AND ECONOMIC DEVELOPMENT,549,ADMINISTRATIVE AND SUPPORT SERVICES,54914,,GRANT AND LOAN ADMINISTRATION
2568,5,RESOURCE AND ECONOMIC DEVELOPMENT,561,REGULATION OF PUBLIC FACILITIES AND SERVICES,56102,,SECURITY SERVICES
2569,5,RESOURCE AND ECONOMIC DEVELOPMENT,561,REGULATION OF PUBLIC FACILITIES AND SERVICES,56103,,COMPUTER SERVICES
2570,5,RESOURCE AND ECONOMIC DEVELOPMENT,549,ADMINISTRATIVE AND SUPPORT SERVICES,54915,,MEDICAL AND CLINICAL SERVICES
2571,5,RESOURCE AND ECONOMIC DEVELOPMENT,549,ADMINISTRATIVE AND SUPPORT SERVICES,54916,,TRAINING AND EDUCATION SERVICES
2572,5,RESOURCE AND ECONOMIC DEVELOPMENT,549,ADMINISTRATIVE AND SUPPORT SERVICES,54917,,COMMUNITY NON-RESIDENTIAL CUSTODY AND TREATMENT
2573,7,GENERAL GOVERNMENT,711,INFORMATION SYSTEMS MANAGEMENT AND DIRECTION,71106,,POWER PLANT OPERATION
2574,7,GENERAL GOVERNMENT,711,INFORMATION SYSTEMS MANAGEMENT AND DIRECTION,71186,,MEAT PROCESSING OPERATION
2575,7,GENERAL GOVERNMENT,711,INFORMATION SYSTEMS MANAGEMENT AND DIRECTION,71199,,BRICK AND CINDER BLOCK PRODUCTION
2576,5,RESOURCE AND ECONOMIC DEVELOPMENT,549,ADMINISTRATIVE AND SUPPORT SERVICES,54918,,TAGS AND LICENSE PLATES
2577,5,RESOURCE AND ECONOMIC DEVELOPMENT,549,ADMINISTRATIVE AND SUPPORT SERVICES,54919,,CAFETERIAS
2578,5,RESOURCE AND ECONOMIC DEVELOPMENT,549,ADMINISTRATIVE AND SUPPORT SERVICES,54920,,PARKING AND TRANSPORTATION SYSTEMS & SERVICES
2579,7,GENERAL GOVERNMENT,736,VIRGINIA EDUCATION LOAN RESERVE FUND,73601,,INDUSTRIAL SERVICES
2580,7,GENERAL GOVERNMENT,736,VIRGINIA EDUCATION LOAN RESERVE FUND,73602,,LICENSING & REGULATION OF LOTTERY SALES AGENTS
2581,1,EDUCATION,102,HIGHER EDUCATION RESEARCH,10230,,COLLECTION AND LOCATOR SERVICES
2582,1,EDUCATION,102,HIGHER EDUCATION RESEARCH,10240,,PERSONNEL SERVICES
2583,1,EDUCATION,102,HIGHER EDUCATION RESEARCH,10250,,RESIDENTIAL SERVICES
2584,5,RESOURCE AND ECONOMIC DEVELOPMENT,514,ENVIRONMENTAL MONITORING & EVALUATION,51408,,COMPUTER OPERATIONS SERVICES
2585,5,RESOURCE AND ECONOMIC DEVELOPMENT,514,ENVIRONMENTAL MONITORING & EVALUATION,51499,,OTHER SERVICES
2586,5,RESOURCE AND ECONOMIC DEVELOPMENT,515,ENVIRONMENTAL TECHNICAL AND FINANCIAL ASSISTANCE,51501,,ARCHITECTURAL AND ENGINEERING SERVICES
2587,5,RESOURCE AND ECONOMIC DEVELOPMENT,515,ENVIRONMENTAL TECHNICAL AND FINANCIAL ASSISTANCE,51502,,NURSING MANAGEMENT AND DIRECTION
2589,5,RESOURCE AND ECONOMIC DEVELOPMENT,515,ENVIRONMENTAL TECHNICAL AND FINANCIAL ASSISTANCE,51504,,CRIMINAL JUSTICE PERSONNEL STANDARDS
2590,1,EDUCATION,191,STATE EDUCATION SERVICES,19110,,MEDICAL ASSISTANCE SRVS-LOW-INCOME CHILDREN
2591,1,EDUCATION,191,STATE EDUCATION SERVICES,19111,,MINERALS MANAGEMENT
2592,1,EDUCATION,191,STATE EDUCATION SERVICES,19112,,ENVIRONMENTAL POLICY & PROGRAM DEVELOPMENT
2593,5,RESOURCE AND ECONOMIC DEVELOPMENT,515,ENVIRONMENTAL TECHNICAL AND FINANCIAL ASSISTANCE,51505,,REGULATION OF BUSINESS PRACTICES
2594,5,RESOURCE AND ECONOMIC DEVELOPMENT,515,ENVIRONMENTAL TECHNICAL AND FINANCIAL ASSISTANCE,51506,,REGULATION OF PROFESSIONS AND OCCUPATIONS
2595,5,RESOURCE AND ECONOMIC DEVELOPMENT,515,ENVIRONMENTAL TECHNICAL AND FINANCIAL ASSISTANCE,51507,,HIGHWAY SYSTEM MAINTENANCE
2596,5,RESOURCE AND ECONOMIC DEVELOPMENT,515,ENVIRONMENTAL TECHNICAL AND FINANCIAL ASSISTANCE,51508,,HWY SYSTEM ACQUISITION/CONTSTRUCTION BOND PROCEEDS
2597,5,RESOURCE AND ECONOMIC DEVELOPMENT,515,ENVIRONMENTAL TECHNICAL AND FINANCIAL ASSISTANCE,51599,,AIR TRANSPORTATION REGULATION AND SAFETY
2601,5,RESOURCE AND ECONOMIC DEVELOPMENT,561,REGULATION OF PUBLIC FACILITIES AND SERVICES,56104,,TRANSITION SUPPORT
2602,5,RESOURCE AND ECONOMIC DEVELOPMENT,561,REGULATION OF PUBLIC FACILITIES AND SERVICES,56105,,EXECUTIVE MANAGEMENT REORGANIZATION
2603,5,RESOURCE AND ECONOMIC DEVELOPMENT,561,REGULATION OF PUBLIC FACILITIES AND SERVICES,56106,,FINANCIAL SYSTEMS DEVELOPMENT AND MANAGEMENT
2607,7,GENERAL GOVERNMENT,713,EXECUTIVE MANAGEMENT,71301,,REVENUE ADMINISTRATION SERVICES
2608,7,GENERAL GOVERNMENT,713,EXECUTIVE MANAGEMENT,71302,,HEALTH POLICY RESEARCH
2609,7,GENERAL GOVERNMENT,713,EXECUTIVE MANAGEMENT,71303,,COLLECTION AND LOCATOR SERVICES
2610,7,GENERAL GOVERNMENT,713,EXECUTIVE MANAGEMENT,71304,,PERSONNEL SERVICES
2612,7,GENERAL GOVERNMENT,715,"PLANNING, BUDGETING AND EVALUATION SERVICES",71503,,RESIDENTIAL SERVICES
2613,5,RESOURCE AND ECONOMIC DEVELOPMENT,561,REGULATION OF PUBLIC FACILITIES AND SERVICES,56199,,POWER PLANT OPERATION
2616,5,RESOURCE AND ECONOMIC DEVELOPMENT,549,ADMINISTRATIVE AND SUPPORT SERVICES,54921,,COLLECTION SERVICES
2617,5,RESOURCE AND ECONOMIC DEVELOPMENT,549,ADMINISTRATIVE AND SUPPORT SERVICES,54922,,HIGHER EDUCATION STUDENT SERVICES
2618,5,RESOURCE AND ECONOMIC DEVELOPMENT,549,ADMINISTRATIVE AND SUPPORT SERVICES,54923,,HIGHER EDUCATION LONG-RANGE PLANNING
2619,7,GENERAL GOVERNMENT,715,"PLANNING, BUDGETING AND EVALUATION SERVICES",71598,,HUMAN RELATIONS MANAGEMNT
2620,7,GENERAL GOVERNMENT,715,"PLANNING, BUDGETING AND EVALUATION SERVICES",71599,,FINANCIAL ASSIST FOR PUBLIC SCHOOL CONSTRUCTION
2621,5,RESOURCE AND ECONOMIC DEVELOPMENT,516,ENVIRONMENTAL POLICY & PROGRAM DEVELOPMENT,51603,,REVERSION CLEARING ACCT-APPROP REDUCT (CAP OUTLAY)
2622,5,RESOURCE AND ECONOMIC DEVELOPMENT,516,ENVIRONMENTAL POLICY & PROGRAM DEVELOPMENT,51604,,NONSTATE SALARIES
2623,5,RESOURCE AND ECONOMIC DEVELOPMENT,516,ENVIRONMENTAL POLICY & PROGRAM DEVELOPMENT,51614,,"CRIME DETECTION,INVESTIGATION AND APPREHENSION"
2624,5,RESOURCE AND ECONOMIC DEVELOPMENT,516,ENVIRONMENTAL POLICY & PROGRAM DEVELOPMENT,51699,,ADJUDICATORY RESEARCH/PLANNING/COORDINATION
2625,5,RESOURCE AND ECONOMIC DEVELOPMENT,517,"ENVIRONMENTAL INFO, EDUC, & ASST",51702,,MEDICAL EXAMINER AND ANATOMICAL SERVICES
2626,5,RESOURCE AND ECONOMIC DEVELOPMENT,517,"ENVIRONMENTAL INFO, EDUC, & ASST",51703,,COMMUNITY HEALTH SERVICES
2627,1,EDUCATION,191,STATE EDUCATION SERVICES,19116,,REHABILITATION ASSISTANCE SERVICES
2628,1,EDUCATION,191,STATE EDUCATION SERVICES,19117,,EMPLOYMENT ASSISTANCE SERVICES
2629,1,EDUCATION,191,STATE EDUCATION SERVICES,19199,,HOUSING INFORMATION
2630,5,RESOURCE AND ECONOMIC DEVELOPMENT,517,"ENVIRONMENTAL INFO, EDUC, & ASST",51704,,FOOD STAMPS
2631,5,RESOURCE AND ECONOMIC DEVELOPMENT,517,"ENVIRONMENTAL INFO, EDUC, & ASST",51705,,EMPLOYMENT SERVICES PAYMENTS
2632,5,RESOURCE AND ECONOMIC DEVELOPMENT,517,"ENVIRONMENTAL INFO, EDUC, & ASST",51706,,NON-PUBLIC ASSISTANCE CHILD SUPPORT PAYMENTS
2634,1,EDUCATION,145,MUSEUM AND CULTURAL SERVICES,14501,,FOOD AND DIETARY SERVICES
2635,1,EDUCATION,145,MUSEUM AND CULTURAL SERVICES,14502,,PLANNING AND EVALUATION SERVICES
2636,5,RESOURCE AND ECONOMIC DEVELOPMENT,517,"ENVIRONMENTAL INFO, EDUC, & ASST",51799,,TEACHER MANAGEMENT AND DIRECTION
2637,5,RESOURCE AND ECONOMIC DEVELOPMENT,518,ENVIRONMENTAL RESPONSE & REMEDIATION,51801,,FIN ASSIST TO LOCALITIES FOR IND AND FAM SERVICES
2638,5,RESOURCE AND ECONOMIC DEVELOPMENT,518,ENVIRONMENTAL RESPONSE & REMEDIATION,51802,,FOREST HAZARD PREVENTION AND SUPPRESSION
2639,5,RESOURCE AND ECONOMIC DEVELOPMENT,518,ENVIRONMENTAL RESPONSE & REMEDIATION,51803,,DRUG ABUSE SERVICES
2640,5,RESOURCE AND ECONOMIC DEVELOPMENT,518,ENVIRONMENTAL RESPONSE & REMEDIATION,51804,,STATE HEALTH SERVICES TECHNICAL SUPPORT AND ADMIN
2641,1,EDUCATION,102,HIGHER EDUCATION RESEARCH,10251,,HEALTH SUPPORT SERVICES
2642,1,EDUCATION,102,HIGHER EDUCATION RESEARCH,10252,,DRUG ABUSE SERVICES
2643,1,EDUCATION,102,HIGHER EDUCATION RESEARCH,10253,,FILTRATION AND TREATMENT PLANT OPERATION
2644,7,GENERAL GOVERNMENT,737,ACCOUNTING SERVICES,73701,,PERSONNEL SERVICES
2646,7,GENERAL GOVERNMENT,737,ACCOUNTING SERVICES,73799,,RESIDENTIAL SERVICES
2647,1,EDUCATION,102,HIGHER EDUCATION RESEARCH,10260,,SOCIAL SERVICES COORDINATION
2648,1,EDUCATION,102,HIGHER EDUCATION RESEARCH,10270,,EMERGENCY ASSISTANCE
2649,1,EDUCATION,102,HIGHER EDUCATION RESEARCH,10280,,PROTECTION AND ADVOCACY FOR THE MENTALLY ILL
2650,1,EDUCATION,103,HIGHER EDUCATION PUBLIC SERVICES,10310,,OTHER INDIVIDUAL CARE SERVICES
2651,1,EDUCATION,103,HIGHER EDUCATION PUBLIC SERVICES,10330,,HISTORIC LANDMARKS AND FACILITIES MANAGEMENT
2652,1,EDUCATION,103,HIGHER EDUCATION PUBLIC SERVICES,10340,,PHYSIOGRAPHIC RESEARCH AND MAPPING
2653,1,EDUCATION,103,HIGHER EDUCATION PUBLIC SERVICES,10350,,FINANCIAL ASSIST TO LOC FOR DISPOSAL OF ABAND VEH
2654,1,EDUCATION,103,HIGHER EDUCATION PUBLIC SERVICES,10360,,CHESAPEAKE BAY FISHERIES MANAGEMENT
2655,1,EDUCATION,103,HIGHER EDUCATION PUBLIC SERVICES,10370,,FRESHWATER AQUATIC SPECIES MGMT & HABITAT IMPROV
2659,1,EDUCATION,103,HIGHER EDUCATION PUBLIC SERVICES,10380,,SEWAGE AND WASTEWATER REGULATION
2662,5,RESOURCE AND ECONOMIC DEVELOPMENT,562,REGULATION OF STRUCTURE SAFETY,56204,,WASTE PERMIT MANAGEMENT
2663,5,RESOURCE AND ECONOMIC DEVELOPMENT,562,REGULATION OF STRUCTURE SAFETY,56299,,WATER QUALITY PLANNING
2667,7,GENERAL GOVERNMENT,717,FINANCIAL ASSISTANCE FOR LOCAL FINANCE DIRECTORS,71701,,ENVIRONMENTAL MONITORING/COMPLIANCE HWY PRJS
2668,7,GENERAL GOVERNMENT,717,FINANCIAL ASSISTANCE FOR LOCAL FINANCE DIRECTORS,71702,,FIN ASST FOR COASTAL RESOURCES MANAGEMENT
2669,7,GENERAL GOVERNMENT,719,ADMINISTRATIVE AND SUPPORT SERVICES,71901,,ENVIRONMENTAL COMMUNICATIONS & EDUCATION SERVICES
2670,5,RESOURCE AND ECONOMIC DEVELOPMENT,563,REGULATION OF UTILITIES,56399,,SHELLFISH SANITATION
2671,5,RESOURCE AND ECONOMIC DEVELOPMENT,579,ADMINISTRATIVE AND SUPPORT SERVICES,57901,,CASUALTY AND PROPERTY INSURANCE
2672,5,RESOURCE AND ECONOMIC DEVELOPMENT,579,ADMINISTRATIVE AND SUPPORT SERVICES,57902,,RADIOLOGICAL HEALTH AND SAFETY REGULATION
2673,5,RESOURCE AND ECONOMIC DEVELOPMENT,549,ADMINISTRATIVE AND SUPPORT SERVICES,54924,,COMMERCIAL DRIVER TRAINING REGULATION
2674,5,RESOURCE AND ECONOMIC DEVELOPMENT,549,ADMINISTRATIVE AND SUPPORT SERVICES,54925,,HEARING AID DEALER AND FITTER REGULATION
2675,5,RESOURCE AND ECONOMIC DEVELOPMENT,549,ADMINISTRATIVE AND SUPPORT SERVICES,54926,,NURSE REGULATION
2676,5,RESOURCE AND ECONOMIC DEVELOPMENT,579,ADMINISTRATIVE AND SUPPORT SERVICES,57903,,POLYGRAPH EXAMINER REGULATION
2677,5,RESOURCE AND ECONOMIC DEVELOPMENT,579,ADMINISTRATIVE AND SUPPORT SERVICES,57904,,VETERINARIAN & ANIMAL TECHNICIAN REGULATION
2678,5,RESOURCE AND ECONOMIC DEVELOPMENT,579,ADMINISTRATIVE AND SUPPORT SERVICES,57905,,REGULATION OF CHILD WELFARE FACILITIES & AGENCIES
2679,7,GENERAL GOVERNMENT,719,ADMINISTRATIVE AND SUPPORT SERVICES,71902,,COMPUTER SERVICES
2680,7,GENERAL GOVERNMENT,719,ADMINISTRATIVE AND SUPPORT SERVICES,71903,,PERSONNEL SERVICES
2681,1,EDUCATION,192,ADULT LITERACY SERVICES,19201,,RESIDENTIAL SERVICES
2682,1,EDUCATION,192,ADULT LITERACY SERVICES,19202,,COMMERCE ADVERTISING
2683,1,EDUCATION,194,FINANCIAL ASSIST FOR PUBLIC SCHOOL CONSTRUCTION,19401,,VEGETABLE AND ORNAMENTAL CROP RESEARCH
2684,1,EDUCATION,145,MUSEUM AND CULTURAL SERVICES,14503,,FINANCIAL ASSISTANCE FOR GYPSY MOTH CONTROL
2685,1,EDUCATION,145,MUSEUM AND CULTURAL SERVICES,14504,,TOURIST PROMOTION SERVICES
2686,1,EDUCATION,145,MUSEUM AND CULTURAL SERVICES,14505,,COLLECTION AND LOCATOR SERVICES
2688,1,EDUCATION,197,INSTRUCTION,19702,,PERSONNEL SERVICES
2689,1,EDUCATION,197,INSTRUCTION,19703,,RESIDENTIAL SERVICES
2690,5,RESOURCE AND ECONOMIC DEVELOPMENT,518,ENVIRONMENTAL RESPONSE & REMEDIATION,51899,,RECREATION SERVICES
2691,5,RESOURCE AND ECONOMIC DEVELOPMENT,519,ADMINISTRATIVE AND SUPPORT SERVICES,51901,,FINANCIAL AND OPERATIONAL AUDITS
2692,5,RESOURCE AND ECONOMIC DEVELOPMENT,519,ADMINISTRATIVE AND SUPPORT SERVICES,51902,,DISASTER OPERATIONS
2693,1,EDUCATION,197,INSTRUCTION,19704,,OTHER SERVICES
2694,1,EDUCATION,197,INSTRUCTION,19705,,FIN ASST LOCALITIES TO IMPROVE VOTER EQUIP/ACCESS
2696,1,EDUCATION,145,MUSEUM AND CULTURAL SERVICES,14506,,"ENG AND ARCHITECT REVIEW, DESIGN AND ADVISORY SERV"
2697,1,EDUCATION,145,MUSEUM AND CULTURAL SERVICES,14507,,DISTRIBUTION OF ROLLING STOCK TAX
2698,1,EDUCATION,145,MUSEUM AND CULTURAL SERVICES,14599,,OTHER SERVICES
2699,1,EDUCATION,197,INSTRUCTION,19707,,FEDERAL RETIREE TAX RESERVE II
2700,1,EDUCATION,197,INSTRUCTION,19799,,TAX REFUNDS AND INTEREST
2701,1,EDUCATION,104,HIGHER EDUCATION ACADEMIC SUPPORT,10410,,FIN ASST-STATE TAX SVS COMMISSIONERS OF REVENUE
2702,1,EDUCATION,104,HIGHER EDUCATION ACADEMIC SUPPORT,10420,,RECREATION SERVICES
2703,1,EDUCATION,104,HIGHER EDUCATION ACADEMIC SUPPORT,10430,,OTHER SERVICES
2704,1,EDUCATION,104,HIGHER EDUCATION ACADEMIC SUPPORT,10440,,TRANSITIONAL PERSONNEL PAYMENTS
2705,1,EDUCATION,104,HIGHER EDUCATION ACADEMIC SUPPORT,10450,,TEACHER TRAINING FOR STANDARDS OF LEARNING
2706,1,EDUCATION,104,HIGHER EDUCATION ACADEMIC SUPPORT,10460,,AT-RISK 4-YR OLDS PRESCHOOL PAYMENTS
2708,1,EDUCATION,105,HIGHER EDUCATION STUDENT SERVICES,10510,,SCHOOL CONSTRUCTION GRANTS
2709,1,EDUCATION,105,HIGHER EDUCATION STUDENT SERVICES,10520,,STATE EDUCATION SERVICES FOR EARLY CHILDHOOD
2710,1,EDUCATION,105,HIGHER EDUCATION STUDENT SERVICES,10530,,FINANCIAL ASSISTANCE FOR ADULT LITERACY SERVICES
2711,1,EDUCATION,105,HIGHER EDUCATION STUDENT SERVICES,10540,,EFFORTS TO PROVIDE FIN ASST FOR CHARTER SCHOOLS
2712,1,EDUCATION,105,HIGHER EDUCATION STUDENT SERVICES,10550,,FOOD AND DIETARY SERVICES
2713,1,EDUCATION,105,HIGHER EDUCATION STUDENT SERVICES,10560,,PLANNING AND EVALUATION SERVICES
2714,1,EDUCATION,106,HIGHER EDUCATION INSTITUTIONAL SUPPORT,10610,,TEACHER MANAGEMENT AND DIRECTION
